Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,0.00,29.46,41.24,21.22,20.59,23.48,24.91,24.86,28.40,37.71,39.35
Plow Back,100.00,100.00,70.54,58.76,78.78,79.41,76.52,75.09,75.14,71.60,62.29,60.65
Return on Equity,-6.60,-11.22,10.44,26.00,28.42,29.69,28.97,29.47,32.10,31.41,25.94,25.19
Return on Assets,-4.17,-7.21,5.83,17.80,18.95,18.78,13.91,16.00,18.47,17.04,14.70,14.49
Book Value per Share,203.40,216.79,324.99,326.37,257.03,196.25,147.03,136.22,125.29,112.08,102.24,100.87
Earning Per Share,-13.43,-24.32,33.94,84.86,73.04,58.27,42.60,40.15,40.22,29.34,26.52,21.17
Net Working Capital to Total Asseets,0.26,0.20,0.23,0.34,0.31,0.31,0.25,0.28,0.21,0.17,0.14,0.12
Current Ratio,2.21,1.63,1.57,2.24,2.06,1.97,1.52,1.69,1.59,1.44,1.39,1.35
Acid Test,0.88,0.87,0.87,1.41,0.99,0.97,0.49,0.64,0.68,0.52,0.37,0.32
Times Interest Earned,0.59,-0.99,8.06,31.29,26.99,11.10,9.12,14.73,10.87,15.00,18.19,7.27
Total Debt Ratio,0.37,0.36,0.44,0.32,0.33,0.37,0.52,0.46,0.42,0.46,0.43,0.42
Debt To Equity,0.58,0.55,0.79,0.46,0.50,0.58,1.08,0.84,0.74,0.84,0.76,0.74
Return on Capital Employed,0.03,-0.04,0.16,0.35,0.41,0.44,0.41,0.41,0.45,0.44,0.37,0.40
Average Collection Period,20.16,31.33,34.93,7.75,3.11,3.01,4.24,3.29,5.69,5.58,9.11,10.23
Days sales Inventory,69.28,57.94,65.00,48.79,67.10,46.21,90.72,74.11,51.59,54.52,58.90,62.35
Total Assets Turnover,1.60,1.56,1.81,2.07,2.09,2.96,2.30,2.44,2.74,2.82,2.66,2.57
Gross Profit Margin,7.00,2.09,10.92,17.27,19.60,14.90,13.24,14.82,16.18,14.67,14.69,16.79
Net Profit Margin,-2.61,-4.64,3.22,8.60,9.06,6.35,6.05,6.56,6.73,6.04,5.53,5.63
