Year,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,40.72,40.35,0.00,0.00,0.00,-239.40,-100.62,-127.07,201.20
Plow Back,59.28,59.65,100.00,100.00,100.00,339.40,200.62,227.07,-101.20
Return on Equity,14.73,15.57,6.72,1.33,1.21,-1.65,-9.08,-1.44,3.27
Return on Assets,12.24,12.79,5.55,1.15,1.02,-1.44,-8.25,-1.33,3.03
Book Value per Share,35.01,31.84,26.88,25.01,24.66,25.36,27.37,136.66,152.03
Earning Per Share,5.16,4.96,1.81,0.33,0.30,-0.42,-2.48,-1.97,4.97
Net Working Capital to Total Asseets,0.60,0.56,0.60,0.56,0.54,0.56,0.55,0.43,0.38
Current Ratio,4.56,4.14,4.46,5.13,4.33,5.50,7.01,6.56,6.16
Acid Test,2.09,1.77,2.00,1.58,1.69,2.01,3.03,2.73,2.91
Times Interest Earned,37.76,62.32,26.45,9.36,6.99,1.08,-30.49,-10.62,15.69
Total Debt Ratio,0.17,0.18,0.17,0.14,0.16,0.12,0.09,0.08,0.07
Debt To Equity,0.20,0.22,0.21,0.16,0.20,0.14,0.10,0.08,0.08
Return on Capital Employed,0.17,0.16,0.08,0.03,0.03,0.00,-0.11,-0.03,0.05
Average Collection Period,23.08,33.97,43.01,17.03,46.07,43.24,59.40,61.26,60.53
Days sales Inventory,267.59,266.59,231.63,265.17,255.14,254.18,262.84,326.91,260.34
Total Assets Turnover,0.86,0.85,0.96,0.92,0.86,0.92,0.81,0.56,0.52
Gross Profit Margin,33.04,32.19,29.32,27.34,28.06,32.45,38.04,39.87,35.23
Net Profit Margin,14.30,14.98,5.79,1.25,1.18,-1.57,-10.13,-2.39,5.86
