Year,2020,2019,2018,2017,2016,2015,2014
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,3.25,4.15,-1.00,-0.55,9.53,6.68,8.44
Return on Assets,2.09,2.52,-0.60,-0.36,7.33,4.50,4.01
Book Value per Share,26.60,32.35,31.07,26.70,30.95,44.31,33.43
Earning Per Share,1.01,1.34,-0.31,-0.15,3.03,3.25,1.33
Net Working Capital to Total Asseets,0.09,-0.00,0.03,0.11,0.22,0.40,-0.03
Current Ratio,1.35,0.99,1.09,1.40,2.02,2.29,0.92
Acid Test,1.29,0.96,1.04,1.33,1.86,2.26,0.87
Times Interest Earned,1.51,2.49,0.61,0.90,7.35,2.76,2.12
Total Debt Ratio,0.36,0.39,0.40,0.35,0.23,0.33,0.53
Debt To Equity,0.56,0.65,0.66,0.53,0.30,0.48,1.11
Return on Capital Employed,0.07,0.07,0.01,0.02,0.10,0.09,0.17
Average Collection Period,185.25,128.98,82.33,69.19,58.05,38.61,41.24
Days sales Inventory,19.58,10.51,9.52,8.77,10.58,3.03,4.40
Total Assets Turnover,0.47,0.55,0.73,1.10,1.39,1.14,2.42
Gross Profit Margin,32.78,29.55,22.73,23.87,15.83,16.46,12.20
Net Profit Margin,4.42,4.56,-0.82,-0.33,5.29,3.95,1.65
