Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Payout,0.00,27.22,21.07,41.20,29.91,28.73,25.70,23.89,16.00,0.00,0.00,0.00,0.00,23.44
Plow Back,100.00,72.78,78.93,58.80,70.09,71.27,74.30,76.11,84.00,100.00,100.00,100.00,100.00,76.56
Return on Equity,-3.24,2.27,11.46,10.65,13.36,12.24,9.70,11.46,12.47,0.57,0.88,2.51,-0.18,4.78
Return on Assets,-1.67,1.28,7.25,7.36,10.54,10.25,8.14,8.66,8.11,0.34,0.50,1.23,-0.10,3.14
Book Value per Share,152.11,161.89,176.06,170.89,150.15,142.19,140.41,109.56,75.16,68.97,72.64,68.75,118.64,133.80
Earning Per Share,-4.93,3.67,20.17,18.20,20.06,17.40,13.62,12.56,9.38,0.45,0.72,1.96,-0.21,6.43
Net Working Capital to Total Asseets,-0.03,-0.00,0.05,0.11,0.25,0.33,0.36,0.26,0.14,0.11,0.06,-0.06,0.14,0.23
Current Ratio,0.91,0.98,1.29,1.84,3.07,4.77,5.40,2.79,1.65,1.45,1.19,0.84,1.59,2.60
Acid Test,0.57,0.60,1.00,1.76,2.59,4.04,4.55,2.17,1.19,1.10,0.90,0.60,1.37,2.36
Times Interest Earned,0.19,1.60,15.19,30.14,96.67,34.91,13.90,8.13,3.43,1.29,1.19,1.30,0.86,4.68
Total Debt Ratio,0.49,0.44,0.37,0.31,0.21,0.16,0.16,0.24,0.35,0.39,0.44,0.51,0.42,0.34
Debt To Equity,0.94,0.78,0.58,0.45,0.27,0.19,0.19,0.32,0.54,0.64,0.77,1.04,0.73,0.53
Return on Capital Employed,0.01,0.06,0.08,0.12,0.17,0.14,0.13,0.15,0.14,0.07,0.07,0.13,0.04,0.05
Average Collection Period,21.94,10.74,2.24,2.67,2.48,2.19,2.32,4.01,5.06,9.02,6.82,10.40,10.74,8.20
Days sales Inventory,126.09,134.50,108.06,23.30,102.26,105.76,106.38,135.06,120.35,113.29,109.06,113.28,95.15,149.03
Total Assets Turnover,0.29,0.32,0.25,0.28,0.36,0.35,0.36,0.39,0.45,0.37,0.35,0.42,0.24,0.12
Gross Profit Margin,4.17,13.23,28.50,39.30,42.65,36.22,34.88,37.43,32.71,23.60,16.62,31.49,15.39,31.65
Net Profit Margin,-5.68,3.97,28.82,26.46,29.59,29.21,22.48,22.08,17.90,0.92,1.43,2.91,-0.43,25.27
