Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,14.49,16.63,33.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,85.51,83.37,66.65,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,20.07,14.29,17.90,12.52,6.51,-4.45,13.00,24.85,18.31,17.65,2.24,-56.12,0.96
Return on Assets,8.18,4.79,5.73,3.90,2.15,-1.46,4.78,6.99,3.82,2.88,0.30,-7.65,0.21
Book Value per Share,51.57,42.10,37.69,32.73,33.66,31.41,32.94,35.23,39.76,32.48,26.75,26.58,41.49
Earning Per Share,10.35,5.80,6.25,3.66,1.76,-1.89,3.46,6.09,1.40,0.21,-2.99,-14.91,0.40
Net Working Capital to Total Asseets,0.10,0.08,0.06,-0.01,0.02,0.06,0.11,0.13,0.03,0.02,-0.00,0.01,0.00
Current Ratio,1.27,1.20,1.14,0.98,1.07,1.21,1.41,1.61,1.09,1.06,0.99,1.02,1.01
Acid Test,0.52,0.55,0.52,0.41,0.44,0.42,0.40,0.55,0.40,0.25,0.33,0.37,0.26
Times Interest Earned,3.18,2.63,4.11,3.22,2.23,0.69,2.49,3.03,1.87,1.76,1.06,-0.23,1.37
Total Debt Ratio,0.59,0.66,0.63,0.63,0.61,0.61,0.56,0.56,0.57,0.62,0.65,0.86,0.78
Debt To Equity,1.45,1.98,1.69,1.70,1.56,1.56,1.29,1.27,1.32,1.65,1.87,6.33,3.57
Return on Capital Employed,0.28,0.18,0.18,0.14,0.08,0.04,0.16,0.20,0.17,0.18,0.12,-0.03,0.01
Average Collection Period,43.60,49.99,45.54,37.57,34.50,32.49,25.05,30.38,29.55,22.80,28.58,25.73,34.58
Days sales Inventory,98.19,92.15,92.86,89.25,86.37,90.89,100.26,90.00,85.29,132.52,115.12,99.39,167.80
Total Assets Turnover,1.31,1.21,1.10,1.00,0.89,0.93,1.11,1.07,0.96,0.84,0.69,0.52,0.33
Gross Profit Margin,16.17,11.97,13.21,11.63,9.46,6.66,13.78,17.88,16.35,17.06,14.79,-1.04,7.30
Net Profit Margin,6.25,3.98,5.23,3.91,2.41,-1.56,4.29,6.52,3.98,3.44,0.44,-14.74,0.65
