Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,21.70,20.55,40.73,39.84,37.19,47.13,44.64,49.89,31.13,14.08,14.98,6.52,0.00
Plow Back,78.30,79.45,59.27,60.16,62.81,52.87,55.36,50.11,68.87,85.92,85.02,93.48,100.00
Return on Equity,8.93,16.93,16.34,25.70,17.82,19.95,14.45,17.96,20.65,16.48,24.12,14.91,19.51
Return on Assets,7.74,14.86,14.20,22.76,15.92,17.72,12.48,15.48,16.52,12.19,16.34,11.14,12.96
Book Value per Share,257.94,459.87,202.86,190.46,150.90,132.94,116.24,111.59,108.93,107.75,110.72,102.92,122.93
Earning Per Share,23.04,38.93,33.15,48.95,26.89,26.52,16.80,20.05,22.49,17.76,26.71,15.34,17.13
Net Working Capital to Total Asseets,0.41,0.47,0.48,0.55,0.50,0.49,0.47,0.47,0.39,0.34,0.29,0.35,0.29
Current Ratio,4.20,4.82,4.67,5.84,5.71,5.43,4.42,4.38,2.96,2.68,2.21,2.78,2.10
Acid Test,2.35,2.59,3.02,4.33,3.75,3.67,2.29,2.61,1.46,1.11,1.10,1.11,0.69
Times Interest Earned,141.27,443.08,429.85,640.99,780.85,621.18,386.13,178.11,21.16,11.97,22.29,6.17,21.42
Total Debt Ratio,0.13,0.12,0.13,0.11,0.11,0.11,0.14,0.14,0.20,0.26,0.32,0.25,0.34
Debt To Equity,0.15,0.14,0.15,0.13,0.12,0.13,0.16,0.16,0.25,0.35,0.48,0.34,0.51
Return on Capital Employed,0.11,0.23,0.23,0.35,0.24,0.27,0.19,0.25,0.31,0.25,0.33,0.25,0.27
Average Collection Period,55.64,38.30,28.75,22.20,24.00,26.25,27.42,28.81,22.45,19.19,28.40,15.84,31.51
Days sales Inventory,146.32,115.41,95.40,81.58,87.36,68.90,118.08,89.95,99.52,110.28,91.44,103.17,121.88
Total Assets Turnover,0.68,1.05,1.02,0.98,1.12,1.28,1.07,1.22,1.36,1.28,1.35,1.41,1.33
Gross Profit Margin,13.85,18.58,18.98,21.22,22.07,18.93,15.57,18.34,19.63,17.72,21.79,17.27,17.01
Net Profit Margin,11.35,14.10,13.92,23.16,14.27,13.82,11.71,12.72,12.11,9.49,12.14,7.92,9.72
