Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,64.22,44.51,29.96,54.41,46.92,41.87,37.31,46.40,0.00,48.93,26.02,23.91,38.28
Plow Back,35.77,55.49,70.04,45.59,53.08,58.13,62.69,53.60,100.00,51.07,73.98,76.09,61.72
Return on Equity,1.63,1.90,7.89,10.10,6.85,10.59,9.47,9.63,10.83,11.33,10.94,10.43,9.35
Return on Assets,1.13,1.46,5.75,7.19,5.31,7.92,7.56,7.43,7.72,9.27,9.47,8.90,7.43
Book Value per Share,119.38,118.41,105.71,100.07,93.39,90.21,84.89,67.16,76.43,72.15,87.80,80.20,111.75
Earning Per Share,1.95,2.25,8.34,10.11,6.39,9.55,8.04,6.47,6.90,8.18,7.21,8.36,6.97
Net Working Capital to Total Asseets,0.15,0.20,0.28,0.26,0.31,0.26,0.28,0.29,0.25,0.29,0.30,0.29,0.25
Current Ratio,1.61,2.22,2.93,3.03,3.78,3.39,3.99,3.60,2.66,3.54,3.77,4.05,2.75
Acid Test,0.92,1.35,1.68,1.82,2.29,2.06,2.41,2.18,1.23,1.88,1.81,2.08,1.21
Times Interest Earned,1.95,1.89,5.23,13.59,9.62,19.23,18.19,9.19,12.72,12.98,20.76,16.18,16.72
Total Debt Ratio,0.31,0.23,0.27,0.29,0.23,0.25,0.20,0.23,0.29,0.18,0.13,0.15,0.21
Debt To Equity,0.44,0.30,0.37,0.41,0.29,0.34,0.25,0.30,0.40,0.22,0.16,0.17,0.26
Return on Capital Employed,0.04,0.05,0.11,0.11,0.11,0.12,0.13,0.15,0.15,0.17,0.16,0.15,0.14
Average Collection Period,85.76,72.33,59.42,65.40,64.31,64.19,60.05,51.23,51.10,37.90,50.65,51.02,61.41
Days sales Inventory,105.76,82.47,88.96,91.14,90.37,83.35,88.89,75.59,125.67,106.85,121.35,100.38,172.17
Total Assets Turnover,0.66,0.71,0.91,0.78,0.85,0.80,0.79,0.96,0.81,0.87,0.85,0.89,0.63
Gross Profit Margin,10.61,11.34,16.46,18.89,20.43,20.29,21.83,19.30,23.08,24.78,24.22,22.69,26.54
Net Profit Margin,1.71,2.05,6.35,9.19,6.25,9.95,9.56,7.74,9.55,10.68,11.19,10.05,11.84
