Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Net Working Capital to Total Asseets,0.34,0.44,-0.03,-0.10,-0.00,-0.03,-0.04,-0.00,0.07,0.12,0.11
Current Ratio,5.38,8.24,0.18,0.09,0.98,0.28,0.05,0.19,13.33,2.46,2.01
Time Interest Earn,5.28,9.46,10.73,17.03,95.72,9.48,7.95,10.82,37577.35,4.26,0.06
Return on Capital Employed,0.19,0.19,0.14,0.20,0.56,0.06,0.03,0.01,0.03,0.16,0.00
Payout,129.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,-29.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Return on Equity,15.26,17.32,11.76,17.74,59.76,4.33,2.20,0.85,2.83,10.99,-9.98
Return on Assets,11.41,12.79,9.73,14.41,51.95,4.12,2.08,0.84,2.81,7.89,-6.51
Book Value per Share,65.67,72.65,68.08,64.08,70.22,41.26,40.47,40.59,41.24,162.43,163.23
Earning Per Share,10.02,12.58,8.00,11.37,41.96,1.79,0.89,0.35,1.17,17.86,-14.80
