Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,0,0,0,0,0,0,0,"1,388,000","2,086,000","593,000","723,000","28,915,000","2,445,000"
COGS,0,0,0,0,0,0,0,0,"26,799,000",0,0,0,0
Gross Profit,0,0,0,0,0,0,0,"1,388,000","-24,713,000","593,000","723,000","28,915,000","2,445,000"
Administrative Expenses,"234,437,000","238,576,000","223,002,000","207,984,000",0,0,0,0,0,"15,712,000","17,465,000","19,850,000","17,481,000"
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Charges,0,0,0,0,"12,794,000","9,120,000",0,0,"3,000","49,000","73,000","103,000","19,000"
Other Income,"324,125,000","240,969,000","6,087,000","214,386,000","167,735,000","46,050,000","169,000","2,074,215,000",0,"-55,570,000","-1,600,017,000","774,150,000","-2,432,447,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,0,0,0,0,"45,891,000","30,813,000","24,624,000","68,108,000",0,0,0,"16,786,000","2,350,000"
EBITDA,"89,730,000","2,445,000","-216,815,000","6,576,000","122,011,000","15,341,000","-24,354,000","2,007,661,000","-20,053,000","-70,257,000","-1,616,107,000","766,964,000","-2,447,570,000"
EBIT,"89,688,000","2,393,000","-216,915,000","6,402,000","121,844,000","15,237,000","-24,455,000","2,007,495,000","-24,713,000","-70,689,000","-1,616,759,000","766,429,000","-2,449,833,000"
EBT,"89,688,000","2,393,000","-216,915,000","6,402,000","109,050,000","6,117,000","-24,455,000","2,007,495,000","-24,716,000","-70,738,000","-1,616,832,000","766,326,000","-2,449,852,000"
Tax,"13,523,000","538,000","626,000","1,043,000","11,888,000","4,138,000",0,"-173,000","173,000",0,0,0,0
PAT,"76,165,000","1,855,000","-217,541,000","5,359,000","97,162,000","1,979,000","-24,455,000","2,007,668,000","-24,889,000","-70,738,000","-1,616,832,000","766,326,000","-2,449,852,000"
EPS,0.14,0,-0.4,0.01,0.18,0.01,-0.06,5.21,-0.06,-0.18,-4.2,1.99,-6.36
