Year,2020,2019,2018,2017,2016,2015,2014,2013
Payout,0.00,0.00,46.33,70.18,63.69,45.34,0.00,0.00
Plow Back,100.00,100.00,53.67,29.82,36.31,54.66,100.00,100.00
Return on Equity,-4.93,-0.66,1.91,3.59,4.02,4.10,8.98,11.01
Return on Assets,-3.96,-0.52,1.54,2.76,3.30,3.13,6.86,8.18
Book Value per Share,290.40,273.66,282.10,198.47,195.13,161.31,154.12,174.39
Earning Per Share,-11.43,-1.80,5.40,7.12,7.85,6.62,13.85,15.37
Net Working Capital to Total Asseets,0.15,0.17,0.18,0.27,0.27,0.27,0.25,0.23
Current Ratio,1.91,1.96,2.16,3.35,5.38,3.26,3.16,2.65
Acid Test,0.56,0.90,0.80,-1.57,1.40,1.05,1.08,1.16
Times Interest Earned,-1.01,0.45,5.61,23.90,19.62,8.83,21.56,17.11
Total Debt Ratio,0.20,0.21,0.20,0.23,0.18,0.24,0.24,0.26
Debt To Equity,0.25,0.26,0.24,0.30,0.22,0.31,0.31,0.35
Return on Capital Employed,-0.02,0.01,0.03,0.05,0.05,0.06,0.09,0.12
Average Collection Period,314.11,257.79,158.44,84.69,31.64,100.55,94.49,110.06
Days sales Inventory,1236.65,424.42,449.43,966.21,395.79,352.37,295.24,239.13
Total Assets Turnover,0.10,0.21,0.25,0.32,0.33,0.40,0.41,0.45
Gross Profit Margin,32.86,24.38,32.53,33.03,31.86,31.16,28.69,28.53
Net Profit Margin,-41.44,-2.49,6.12,8.54,9.96,7.89,16.69,18.08
