Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-62.81,-449.87,0.00,0.00,28.25
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,162.81,549.87,100.00,100.00,71.75
Return on Equity,0.04,1.34,0.53,0.41,-0.27,-0.80,-0.76,-2.85,-0.50,2.63,8.35,8.52
Return on Assets,0.03,0.96,0.35,0.27,-0.17,-0.50,-0.48,-1.65,-0.30,2.08,4.96,5.46
Book Value per Share,91.10,91.13,87.30,86.91,85.34,82.39,83.06,83.69,66.50,88.40,50.19,51.93
Earning Per Share,0.04,1.22,0.46,0.36,-0.23,-0.66,-0.63,-2.39,-0.33,2.33,4.23,2.86
Net Working Capital to Total Asseets,0.13,0.11,0.09,0.07,0.05,0.04,0.03,0.00,0.02,0.04,0.10,0.04
Current Ratio,2.07,1.98,1.62,1.45,1.36,1.27,1.21,1.02,1.10,1.28,1.35,1.16
Acid Test,0.24,0.38,0.36,0.31,0.45,0.30,0.60,0.18,0.37,0.28,0.37,0.68
Times Interest Earned,1.68,1.35,1.93,1.14,-0.58,-0.60,-0.73,-1.64,0.49,6.44,13.69,15.19
Total Debt Ratio,0.29,0.28,0.33,0.34,0.35,0.37,0.37,0.42,0.40,0.21,0.41,0.36
Debt To Equity,0.40,0.39,0.49,0.52,0.54,0.59,0.58,0.73,0.68,0.27,0.68,0.56
Return on Capital Employed,0.01,0.01,0.01,0.01,-0.00,-0.00,-0.01,-0.02,0.01,0.05,0.12,0.12
Average Collection Period,51.86,44.19,46.59,32.28,77.85,24.62,30.03,22.71,48.16,27.39,35.53,35.85
Days sales Inventory,1527.41,644.26,581.51,526.46,203.05,239.46,98.22,219.54,211.83,331.28,295.31,95.42
Total Assets Turnover,0.07,0.12,0.13,0.14,0.27,0.21,0.30,0.26,0.23,0.21,0.46,0.58
Gross Profit Margin,26.45,14.89,10.38,7.33,9.04,2.06,2.44,1.00,5.94,24.04,22.40,20.76
Net Profit Margin,0.44,7.94,2.70,2.00,-0.64,-2.39,-1.61,-6.46,-1.27,10.04,10.82,9.46
