Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,33.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,66.73,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,8.16,15.22,12.93,-43.81,-30.68,-19.17,-83.12,-18.91,-33.59,8.01,75.81,0.00
Return on Assets,3.64,6.81,5.46,-8.67,-7.90,-5.72,-14.86,-5.50,-7.65,2.59,23.62,-2.95
Book Value per Share,43.04,39.50,34.21,23.18,33.34,43.58,17.92,31.96,19.82,25.97,23.34,-15.16
Earning Per Share,3.51,6.01,7.58,-10.16,-10.23,-8.36,-14.90,-6.05,-6.66,2.08,17.70,-1.38
Net Working Capital to Total Asseets,-0.02,0.01,-0.16,-0.57,-0.39,-0.31,-0.30,-0.15,-0.11,-0.03,-0.12,-0.64
Current Ratio,0.93,1.04,0.46,0.07,0.20,0.35,0.45,0.66,0.75,0.90,0.66,0.39
Acid Test,0.83,0.34,0.43,0.05,0.08,0.18,0.20,0.23,0.31,0.66,0.16,0.12
Times Interest Earned,2.41,4.65,7.38,-13.18,-2.84,-3.97,-2.96,-0.60,-0.48,1.56,15.67,0.22
Total Debt Ratio,0.55,0.55,0.58,0.80,0.74,0.70,0.82,0.71,0.77,0.68,0.69,1.32
Debt To Equity,1.24,1.24,1.37,4.05,2.88,2.35,4.59,2.44,3.39,2.09,2.21,-4.08
Return on Capital Employed,0.12,0.16,0.10,-0.42,-0.09,-0.20,-0.25,-0.04,-0.04,0.11,0.49,-0.15
Average Collection Period,91.11,0.02,24.92,0.00,18.51,14.06,26.37,27.38,26.01,34.40,27.56,23.36
Days sales Inventory,14.05,155.26,4.96,6.00,22.55,25.73,42.38,70.05,46.76,15.82,120.64,87.69
Total Assets Turnover,0.79,0.46,0.65,0.58,0.90,1.07,1.15,1.01,1.61,1.78,0.55,1.24
Gross Profit Margin,15.06,27.64,0.19,-11.46,-0.10,-5.84,-5.23,2.27,1.32,6.81,1.85,3.73
Net Profit Margin,4.62,14.72,8.40,-14.83,-8.73,-5.35,-12.98,-5.47,-4.75,1.45,42.88,-2.39
