Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,59.41,34.31,45.77,47.09,50.00,46.00,47.05,48.23,48.01,49.67,28.06,34.30
Plow Back,40.59,65.69,54.23,52.91,50.00,54.00,52.95,51.77,51.99,50.33,71.94,65.70
Return on Equity,8.05,14.89,11.12,7.98,12.63,13.91,14.63,16.78,19.27,21.46,18.75,19.96
Return on Assets,6.25,11.18,8.62,6.10,9.57,10.36,11.42,13.21,14.80,18.80,15.56,12.87
Book Value per Share,57.49,53.84,54.03,46.56,43.54,39.07,36.33,30.89,27.03,23.45,23.76,25.56
Earning Per Share,4.63,8.02,6.01,3.72,5.50,5.43,5.31,5.18,5.21,5.03,4.45,4.08
Net Working Capital to Total Asseets,0.31,0.31,0.25,0.22,0.28,0.34,0.39,0.47,0.26,0.47,0.41,0.30
Current Ratio,2.42,2.29,2.14,1.96,2.23,2.42,2.89,3.34,2.19,5.48,3.84,1.90
Acid Test,1.98,1.52,0.85,1.09,1.97,1.98,2.17,2.66,1.32,3.91,3.07,1.69
Times Interest Earned,13.57,20.25,23.75,8.96,16.60,11.90,16.42,73.15,18.56,24.14,0.00,0.00
Total Debt Ratio,0.22,0.25,0.23,0.24,0.24,0.26,0.22,0.21,0.23,0.12,0.00,0.00
Debt To Equity,0.29,0.33,0.29,0.31,0.32,0.34,0.28,0.27,0.30,0.14,0.00,0.00
Return on Capital Employed,0.10,0.17,0.12,0.08,0.16,0.18,0.18,0.20,0.25,0.30,0.26,0.26
Average Collection Period,5.37,14.32,24.07,13.01,2.75,17.43,25.00,11.77,20.43,9.08,7.04,28.14
Days sales Inventory,43.04,87.63,164.75,100.01,24.86,42.08,47.77,38.32,61.62,38.66,28.56,26.43
Total Assets Turnover,0.91,0.92,0.74,0.78,0.99,1.04,1.30,1.50,1.34,1.86,1.72,1.20
Gross Profit Margin,10.84,15.10,16.42,8.27,11.95,11.89,11.80,13.67,17.60,16.96,16.20,18.85
Net Profit Margin,6.85,12.18,11.62,7.81,9.69,9.95,8.81,8.82,11.01,10.11,9.03,10.69
