Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Net Working Capital to Total Asseets,-0.49,-0.34,-0.27,-0.30,-0.16,-0.08,-0.21,0.18,0.28,0.17,0.19,0.01,0.03
Current Ratio,0.43,0.53,0.59,0.54,0.70,0.84,0.73,1.60,1.93,1.40,1.46,1.02,1.06
Time Interest Earn,-35.07,-18.16,166.64,-112.49,-7.94,-9.27,-38.55,-342.02,1791.89,0.70,-0.12,0.03,0.98
Return on Capital Employed,-0.47,-0.14,0.40,-0.22,-0.02,-0.10,-0.62,-0.15,0.11,0.03,-0.02,0.01,0.13
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,-60.31,-23.57,17.96,-31.25,19.40,-46.39,-83.11,-58.72,32.26,-43.63,-4772.30,-219.10,42.05
Return on Assets,-7.01,-4.20,3.79,-4.93,1.89,-3.30,-14.68,-11.03,7.78,-1.35,-9.96,-9.02,3.80
Book Value per Share,1.67,2.67,3.31,2.71,2.18,1.69,0.45,6.05,9.57,1.56,0.16,4.50,13.87
Earning Per Share,-1.21,-0.76,0.72,-1.02,0.42,-0.79,-3.72,-3.55,3.09,-0.68,-7.55,-9.86,5.55
