Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,56.99,234.05,100.06,89.02,77.16,0.00,38.90,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,43.01,-134.05,-0.06,10.98,22.84,100.00,61.10,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,40.22,20.92,30.56,34.34,23.98,2.66,44.21,1.86,-1.34,-0.29,0.25,-8.76,-3.27
Return on Assets,39.13,19.59,28.55,25.15,18.75,2.18,32.44,1.25,-0.78,-0.18,0.15,-5.34,-2.16
Book Value per Share,11.56,12.56,13.08,13.09,12.59,11.90,11.63,8.56,8.06,8.17,8.19,7.99,8.70
Earning Per Share,4.65,2.63,4.00,4.49,3.02,0.32,5.14,0.16,-0.11,-0.02,0.02,-0.70,-0.28
Net Working Capital to Total Asseets,0.11,0.16,0.17,0.12,0.10,0.12,0.15,0.01,-0.05,-0.04,-0.03,-0.04,-0.03
Current Ratio,5.43,3.62,3.58,1.47,1.46,2.03,2.02,1.08,0.68,0.61,0.69,0.55,0.28
Acid Test,5.43,3.49,3.35,1.40,1.40,1.95,1.95,1.02,0.61,0.50,0.62,0.54,0.27
Times Interest Earned,114.23,48.38,58.60,152.13,24.34,3.49,21.59,1.33,0.80,0.96,1.05,-0.13,-0.97
Total Debt Ratio,0.03,0.06,0.07,0.27,0.22,0.18,0.27,0.33,0.42,0.38,0.39,0.39,0.34
Debt To Equity,0.03,0.07,0.07,0.37,0.28,0.22,0.36,0.49,0.72,0.62,0.64,0.64,0.52
Return on Capital Employed,0.41,0.21,0.31,0.35,0.25,0.04,0.40,0.06,0.04,0.04,0.04,-0.01,-0.01
Average Collection Period,1461.34,524.85,210.49,179.78,148.04,202.59,152.06,72.25,141.94,76.98,91.34,64.80,0.00
Days sales Inventory,0.00,28.95,17.97,29.61,19.77,14.85,13.19,7.33,19.57,21.30,17.62,1.92,8.16
Total Assets Turnover,0.03,0.10,0.32,0.25,0.27,0.27,0.31,0.32,0.24,0.22,0.17,0.15,0.00
Gross Profit Margin,-43.72,-5.83,3.88,14.65,13.07,11.98,16.95,16.49,13.24,19.58,23.89,22.84,0.00
Net Profit Margin,1446.57,201.37,89.60,100.50,68.33,8.02,106.33,3.93,-3.21,-0.81,0.88,-36.37,0.00
