Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,0.00,32.16,0.00,0.00,20.11,0.00,23.44,0.00,0.00,2.37
Plow Back,100.00,100.00,100.00,100.00,67.84,100.00,100.00,79.89,100.00,76.56,100.00,100.00,97.63
Return on Equity,0.00,-165.88,12.40,34.19,13.07,-66.21,-151.90,33.80,-177.20,8.69,-126.67,-209.77,31.01
Return on Assets,-21.41,-13.58,1.65,4.09,1.14,-3.84,-3.00,1.81,-4.72,0.90,-9.64,-14.04,8.88
Book Value per Share,-0.56,11.94,13.82,10.55,7.37,50.99,16.25,41.93,26.05,73.63,67.11,62.27,194.45
Earning Per Share,-17.74,-18.92,1.64,3.45,0.93,-5.42,-24.68,14.17,-46.16,6.40,-85.01,-130.62,60.31
Net Working Capital to Total Asseets,-0.47,-0.25,-0.15,-0.28,-0.32,-0.29,-0.24,-0.14,-0.11,-0.07,-0.11,-0.04,0.24
Current Ratio,0.45,0.69,0.79,0.65,0.60,0.67,0.76,0.86,0.89,0.92,0.88,0.96,1.34
Acid Test,0.19,0.41,0.43,0.34,0.34,0.46,0.40,0.42,0.65,0.50,0.64,0.68,0.79
Times Interest Earned,-2.46,-2.64,2.40,3.39,1.54,-1.37,-8.85,4.45,0.49,4.46,-0.69,-1.22,6.31
Total Debt Ratio,1.00,0.92,0.87,0.88,0.91,0.94,0.98,0.95,0.97,0.90,0.92,0.93,0.71
Debt To Equity,-203.76,11.22,6.51,7.36,10.43,16.23,49.71,17.68,36.52,8.69,12.14,13.94,2.49
Return on Capital Employed,-1.06,-0.46,0.16,0.41,0.32,-0.25,-1.18,1.06,0.91,0.36,-0.33,-1.38,0.56
Average Collection Period,14.79,41.61,28.75,23.34,29.38,24.94,22.05,29.85,59.45,37.77,76.76,68.53,36.15
Days sales Inventory,30.64,29.00,31.34,35.17,31.63,22.76,25.38,31.32,23.37,36.13,33.23,39.33,37.53
Total Assets Turnover,2.55,2.70,3.02,2.70,2.61,2.96,4.93,4.82,3.72,3.86,2.48,2.36,4.02
Gross Profit Margin,-4.83,-2.74,1.13,3.59,3.07,-0.74,-0.50,1.48,0.70,2.51,-0.82,-3.92,5.00
Net Profit Margin,-8.38,-5.03,0.55,1.52,0.44,-1.30,-0.61,0.38,-1.27,0.23,-3.88,-5.95,2.21
