Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,20.20,21.04,40.58,85.39,0.00,0.00,6.78,0.00,0.00,10.23,0.00,8.46
Plow Back,100.00,79.80,78.96,59.42,14.61,100.00,100.00,93.22,100.00,100.00,89.77,100.00,91.54
Return on Equity,3.55,18.07,15.94,5.63,0.98,-3.54,-11.31,18.93,18.60,19.68,28.52,12.36,35.31
Return on Assets,2.70,13.80,12.35,4.34,0.79,-2.92,-9.41,16.41,15.55,15.99,23.92,10.08,28.49
Book Value per Share,76.78,76.67,74.53,63.51,59.86,59.31,61.44,77.96,63.60,51.77,42.83,30.53,33.46
Earning Per Share,2.73,13.86,11.89,3.58,0.59,-2.10,-6.95,14.86,11.83,10.19,12.22,4.03,9.85
Net Working Capital to Total Asseets,0.48,0.42,0.36,0.24,0.14,0.06,0.03,0.22,0.22,0.17,0.31,0.36,0.43
Current Ratio,3.20,2.81,2.65,2.08,1.77,1.33,1.20,3.05,2.66,2.08,3.16,3.60,3.54
Acid Test,3.20,2.81,2.65,2.08,1.77,1.33,1.20,3.05,2.66,2.08,3.16,3.60,3.54
Times Interest Earned,9.38,34.15,26.34,13.20,4.92,-11.52,-47.47,132.38,64.03,32.31,39.49,16.40,51.33
Total Debt Ratio,0.24,0.24,0.23,0.23,0.19,0.18,0.17,0.13,0.16,0.19,0.16,0.18,0.19
Debt To Equity,0.32,0.31,0.29,0.30,0.24,0.21,0.20,0.15,0.20,0.23,0.19,0.23,0.24
Return on Capital Employed,0.06,0.20,0.17,0.07,0.02,-0.03,-0.10,0.19,0.18,0.20,0.29,0.13,0.35
Average Collection Period,170.62,171.72,114.15,62.23,135.98,60.65,63.22,133.89,136.88,182.60,170.01,210.45,121.71
Days sales Inventory,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total Assets Turnover,0.52,0.60,0.50,0.53,0.49,0.42,0.28,0.37,0.37,0.36,0.46,0.37,0.52
Gross Profit Margin,33.26,38.85,45.24,31.60,29.04,19.74,-0.48,58.70,61.92,62.78,71.29,41.85,63.14
Net Profit Margin,5.20,23.11,24.88,8.16,1.62,-6.93,-33.77,44.05,42.08,43.82,51.59,27.20,54.38
