Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Net Working Capital to Total Asseets,-0.53,-0.45,-0.07,0.06,0.03,0.02,0.02,0.03,0.02,0.00,-0.01,0.15,0.28
Current Ratio,0.03,0.02,0.39,5.36,3.85,3.05,2.86,4.05,2.47,1.21,0.53,5.10,9.83
Time Interest Earn,-0.77,-1.62,-38.35,-69770.82,-32487.91,2.24,-3.67,-57635.30,-61.88,-1.69,61.46,-62.42,127.18
Return on Capital Employed,-0.11,-0.13,-0.06,-0.83,-0.19,0.01,-0.01,-0.51,-0.07,-0.00,0.06,-0.14,0.47
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,-24.90,-19.84,-9.94,-83.85,-19.07,0.30,-0.79,-51.02,-6.64,-0.30,5.40,-14.06,46.43
Return on Assets,-11.08,-10.63,-5.65,-82.30,-18.84,0.30,-0.78,-50.20,-6.55,-0.29,5.27,-13.51,44.93
Book Value per Share,5.41,6.75,6.47,7.31,13.23,15.75,15.71,15.90,24.90,39.02,44.98,39.00,709.25
Earning Per Share,-1.35,-1.34,-0.64,-6.13,-2.52,0.05,-0.12,-8.11,-1.65,-0.12,2.21,-5.48,21.74
