Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,0.00,75.00,75.00,100.00,75.00,75.01,75.00,0.00,0.00,0.00,31.04
Plow Back,100.00,100.00,25.00,25.00,0.01,25.00,24.99,25.00,100.00,100.00,100.00,68.96
Return on Equity,-120.24,-24.53,21.72,23.49,25.96,26.92,18.43,1.06,1.01,-1.19,-8.34,3.59
Return on Assets,-21.73,-6.11,7.94,11.13,11.52,13.05,8.28,0.54,0.38,-0.66,-2.58,1.40
Book Value per Share,137.82,287.12,426.76,384.47,345.81,321.44,272.94,206.84,206.10,203.90,143.20,156.89
Earning Per Share,-165.71,-70.42,92.69,90.31,89.78,86.54,50.31,2.18,2.07,-2.43,-11.94,5.64
Net Working Capital to Total Asseets,-0.18,0.05,0.17,0.22,0.24,0.26,0.21,0.19,0.13,0.19,0.16,0.20
Current Ratio,0.78,1.06,1.28,1.43,1.45,1.52,1.39,1.39,1.22,1.45,1.23,1.34
Acid Test,0.26,0.29,0.72,0.78,0.91,1.07,0.71,0.48,0.62,0.55,0.47,0.53
Times Interest Earned,-0.78,0.49,3.46,22.15,6.67,-12.14,-10.62,1.14,1.54,1.13,0.10,1.17
Total Debt Ratio,0.82,0.75,0.63,0.53,0.56,0.52,0.55,0.49,0.62,0.44,0.69,0.61
Debt To Equity,4.53,3.01,1.73,1.11,1.25,1.06,1.23,0.97,1.62,0.80,2.23,1.57
Return on Capital Employed,-0.40,0.13,0.42,0.35,0.45,0.34,0.24,0.14,0.18,0.13,0.01,0.40
Average Collection Period,10.22,18.31,9.80,4.05,10.17,37.18,28.98,13.43,75.90,18.98,29.73,34.10
Days sales Inventory,104.84,162.84,76.39,59.88,66.44,63.02,125.19,118.58,112.85,72.50,101.14,81.65
Total Assets Turnover,1.39,1.34,1.84,2.23,1.87,1.54,1.22,1.49,1.31,2.04,1.94,2.43
Gross Profit Margin,-1.29,5.82,11.40,10.97,15.27,15.62,14.46,10.73,10.36,7.94,3.50,10.53
Net Profit Margin,-15.58,-4.57,4.32,4.98,6.16,8.49,6.78,0.36,0.29,-0.33,-1.33,0.57
