Year,2020,2019,2018,2017,2016,2015,2014,2013,2012
Payout,2.69,2.99,4.30,6.28,9.29,10.19,8.82,14.06,27.76
Plow Back,97.31,97.01,95.70,93.72,90.71,89.81,91.18,85.94,72.24
Return on Equity,32.54,38.25,38.25,35.77,35.67,49.15,23.44,17.86,9.72
Return on Assets,10.75,11.05,10.66,9.76,10.16,8.61,6.63,7.08,3.35
Book Value per Share,698.26,524.48,364.55,231.63,153.89,104.27,183.10,147.56,124.91
Earning Per Share,227.23,200.59,139.45,82.87,54.89,51.25,42.92,26.35,12.14
Net Working Capital to Total Asseets,0.22,0.17,0.13,0.10,-0.04,0.04,0.05,0.15,0.13
Current Ratio,1.34,1.25,1.19,1.16,0.93,1.06,1.08,1.34,1.26
Acid Test,1.33,1.24,1.18,1.14,0.87,1.02,1.06,1.29,1.21
Times Interest Earned,42.88,44.29,32.72,14.97,12.43,4.66,5.43,6.57,2.82
Total Debt Ratio,0.67,0.71,0.72,0.73,0.72,0.82,0.72,0.60,0.66
Debt To Equity,2.03,2.46,2.59,2.66,2.51,4.71,2.53,1.52,1.90
Return on Capital Employed,0.41,0.48,0.43,0.32,0.29,0.32,0.25,0.22,0.13
Average Collection Period,908.77,914.46,855.11,705.06,451.99,609.50,764.59,368.13,731.92
Days sales Inventory,57.44,72.17,27.61,49.63,85.87,109.75,60.49,74.37,112.93
Total Assets Turnover,0.26,0.27,0.28,0.30,0.36,0.30,0.25,0.34,0.23
Gross Profit Margin,73.53,80.01,78.19,73.51,57.57,70.51,66.14,65.81,65.48
Net Profit Margin,42.09,40.92,37.80,32.43,27.87,29.16,26.50,20.56,14.76
