Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Payout,0.00,0.00,65.03,79.06,34.90,87.39,93.03,83.21,96.90,86.76,93.92,98.73,91.81,91.94,95.52,95.35,51.01,0.00
Plow Back,100.00,100.00,34.98,20.94,65.10,12.61,6.97,16.79,3.10,13.24,6.08,1.27,8.19,8.06,4.48,4.65,48.99,100.00
Return on Equity,15.71,-86.64,10.34,7.64,10.49,28.44,30.73,40.71,34.35,78.96,53.35,35.50,27.65,29.85,28.64,31.69,25.62,19.99
Return on Assets,2.41,-6.49,1.79,1.53,2.10,6.84,8.68,15.10,10.66,26.80,18.44,10.45,6.20,8.74,8.83,9.96,8.34,6.20
Book Value per Share,14.94,7.32,14.88,14.08,13.66,15.29,13.99,14.76,13.52,14.60,13.07,11.41,11.23,9.11,9.14,8.27,7.65,6.60
Earning Per Share,2.12,-6.34,1.54,1.08,1.43,4.35,4.30,6.01,4.64,11.53,6.97,4.05,3.10,2.72,2.62,2.62,1.98,1.31
Net Working Capital to Total Asseets,0.02,-0.19,-0.07,-0.09,-0.01,-0.06,0.04,-0.14,0.00,0.08,0.08,0.05,0.05,0.06,0.10,0.12,0.11,0.05
Current Ratio,1.04,0.74,0.88,0.84,0.98,0.89,1.10,0.73,1.00,1.17,1.19,1.10,1.09,1.18,1.34,1.46,1.53,1.53
Acid Test,0.92,0.49,0.71,0.71,0.82,0.80,0.90,0.57,0.71,0.90,0.98,0.92,0.82,0.98,1.15,1.21,1.36,1.19
Times Interest Earned,2.10,0.26,1.81,1.74,1.74,3.88,5.40,6.52,4.55,15.86,11.37,4.98,2.58,7.19,10.10,16.07,34.58,6.24
Total Debt Ratio,0.85,0.93,0.83,0.80,0.80,0.76,0.72,0.63,0.69,0.66,0.65,0.71,0.78,0.71,0.69,0.69,0.67,0.69
Debt To Equity,5.52,12.34,4.78,3.99,4.00,3.16,2.54,1.70,2.22,1.95,1.89,2.40,3.46,2.41,2.24,2.18,2.07,2.22
Return on Capital Employed,0.21,0.06,0.13,0.12,0.12,0.27,0.27,0.55,0.47,0.84,0.53,0.37,0.35,0.23,0.22,0.23,0.17,0.06
Average Collection Period,7.26,47.00,33.94,6.95,28.57,7.17,10.82,10.75,18.81,4.22,7.00,4.74,3.88,7.27,5.74,2.95,13.73,27.72
Days sales Inventory,29.73,106.26,57.33,35.95,42.69,23.81,37.06,29.58,68.97,54.24,38.87,41.50,139.35,91.22,58.19,60.26,34.39,60.68
Total Assets Turnover,0.91,0.73,0.77,0.80,0.71,0.88,1.07,1.47,1.18,1.39,1.22,1.01,0.57,0.42,0.53,0.58,0.52,0.27
Gross Profit Margin,15.11,8.80,13.30,11.43,2.71,13.82,22.43,26.65,23.92,36.01,31.12,26.32,30.67,39.39,31.85,32.01,28.45,22.52
Net Profit Margin,2.63,-8.86,2.33,1.91,2.97,7.78,8.12,10.31,9.05,19.27,15.06,10.30,10.81,20.75,16.62,17.18,15.97,23.24
