Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,79.67,49.00,43.13,39.93,40.23,31.01,37.59,-14.00,-8.07,-82.50,6.75,0.00
Plow Back,20.33,51.00,56.87,60.07,59.77,68.99,62.41,114.00,108.07,182.50,93.25,100.00
Return on Equity,2.57,4.90,9.55,10.72,7.09,5.24,4.44,-8.79,-5.31,-1.23,17.36,-1.20
Return on Assets,2.01,4.01,8.41,9.00,5.79,4.24,3.37,-5.89,-3.58,-0.84,11.41,-0.56
Book Value per Share,585.32,624.62,727.90,583.78,525.88,560.68,479.78,365.68,350.18,319.15,277.52,192.85
Earning Per Share,15.06,29.69,69.05,62.61,37.42,29.89,18.33,-32.13,-18.58,-3.94,48.16,-2.32
Net Working Capital to Total Asseets,0.02,0.01,0.05,0.04,0.05,0.06,0.06,0.06,0.12,0.15,0.18,0.07
Current Ratio,1.14,1.07,1.70,1.53,1.61,1.67,1.57,1.57,2.57,3.52,4.58,1.50
Acid Test,0.72,0.68,1.22,1.09,1.15,1.14,1.07,1.04,0.97,1.58,1.72,0.52
Times Interest Earned,3.05,7.56,17.06,6.32,6.91,4.66,3.60,5.21,0.09,0.74,5.51,0.81
Total Debt Ratio,0.21,0.17,0.11,0.15,0.16,0.16,0.21,0.33,0.32,0.32,0.34,0.54
Debt To Equity,0.26,0.21,0.13,0.18,0.19,0.20,0.27,0.49,0.48,0.47,0.52,1.15
Return on Capital Employed,0.06,0.07,0.11,0.14,0.09,0.06,0.06,0.07,0.00,0.02,0.21,0.04
Average Collection Period,48.50,45.30,48.23,47.08,40.57,36.95,39.79,70.85,33.24,32.36,45.54,45.47
Days sales Inventory,80.64,75.92,60.38,61.63,65.38,77.22,74.56,83.34,105.68,97.09,132.15,145.39
Total Assets Turnover,0.34,0.30,0.25,0.27,0.28,0.25,0.28,0.26,0.44,0.47,0.39,0.35
Gross Profit Margin,19.08,15.85,20.63,21.48,20.98,14.68,13.40,11.57,1.88,4.29,2.19,7.72
Net Profit Margin,5.88,13.22,34.33,33.23,20.56,16.81,12.06,-23.09,-8.09,-1.79,28.94,-1.60
