Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,17.89,44.09,44.97,35.88,42.65,32.62,39.07,29.05,58.60,66.82,47.48,32.66
Plow Back,100.00,82.11,55.91,55.03,64.12,57.35,67.38,60.93,70.95,41.40,33.18,52.52,67.34
Return on Equity,6.50,13.77,10.86,12.45,17.18,17.73,17.53,17.71,13.89,15.28,11.92,8.47,14.90
Return on Assets,3.31,6.51,5.49,7.83,10.56,8.71,7.93,7.38,5.60,7.49,5.81,4.50,6.66
Book Value per Share,125.33,103.54,93.99,89.32,81.08,59.51,52.45,43.35,37.17,33.51,31.39,29.85,20.56
Earning Per Share,8.18,14.25,10.21,11.12,14.68,10.55,9.20,7.68,5.16,5.12,3.74,2.53,3.06
Net Working Capital to Total Asseets,0.07,-0.06,-0.05,-0.01,0.10,-0.04,-0.02,0.13,0.01,-0.09,-0.06,0.00,0.04
Current Ratio,1.32,0.81,0.83,0.97,1.37,0.87,0.93,1.71,1.05,0.70,0.78,1.01,1.21
Acid Test,1.10,0.63,0.64,0.76,1.16,0.65,0.69,1.33,0.77,0.53,0.61,0.80,1.01
Times Interest Earned,2.67,12.19,14.41,13.99,10.54,5.57,4.34,3.84,3.46,4.18,4.52,2.90,3.68
Total Debt Ratio,0.49,0.53,0.49,0.37,0.39,0.51,0.55,0.58,0.60,0.51,0.51,0.47,0.55
Debt To Equity,0.96,1.11,0.98,0.59,0.63,1.04,1.21,1.40,1.48,1.04,1.05,0.88,1.24
Return on Capital Employed,0.11,0.14,0.12,0.17,0.21,0.21,0.19,0.17,0.15,0.20,0.17,0.14,0.17
Average Collection Period,15.37,18.07,25.38,17.66,14.16,16.46,19.58,23.16,27.97,30.40,31.66,34.71,33.84
Days sales Inventory,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total Assets Turnover,0.80,0.98,1.01,1.19,1.21,1.21,1.09,1.01,0.96,0.99,0.79,0.69,0.71
Gross Profit Margin,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Net Profit Margin,4.16,6.62,5.42,6.55,8.71,7.19,7.27,7.30,5.86,7.58,7.39,6.55,9.36
