Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,100.00
Return on Equity,-384.86,-41.13,-9.79,-59.60,-52.69,2.39,-6.91,-16.89,-16.89,-56.46,21.39,-48.15
Return on Assets,-14.12,-8.16,-2.31,-16.18,-21.02,1.49,-0.96,-2.47,-2.47,-9.11,5.51,-12.34
Book Value per Share,0.17,1.15,1.62,1.78,2.85,7.35,2.93,3.13,3.13,3.66,5.57,4.38
Earning Per Share,-0.66,-0.47,-0.16,-1.06,-1.50,0.20,-0.20,-0.53,-0.53,-2.07,1.19,-2.11
Net Working Capital to Total Asseets,0.02,0.18,0.09,0.11,0.17,0.27,-0.01,-0.00,-0.00,0.01,0.12,0.13
Current Ratio,1.03,1.26,1.12,1.15,1.28,1.71,0.99,0.99,0.99,1.02,1.16,1.18
Acid Test,0.71,0.99,0.83,0.97,1.06,1.24,0.75,0.71,0.71,0.74,0.89,0.90
Times Interest Earned,-565.01,-114.08,-17.88,-142.50,-264.50,3.97,0.54,0.18,0.18,-1.57,1.58,-1.36
Total Debt Ratio,0.96,0.80,0.76,0.73,0.60,0.37,0.86,0.85,0.85,0.84,0.74,0.74
Debt To Equity,26.26,4.04,3.24,2.68,1.51,0.60,6.23,5.84,5.84,5.20,2.88,2.90
Return on Capital Employed,-0.66,-0.21,-0.07,-0.28,-0.54,0.04,0.08,0.03,0.03,-0.32,0.20,-0.25
Average Collection Period,315.98,267.67,277.61,471.18,1063.81,560.16,580.42,403.10,403.10,194.78,169.28,231.98
Days sales Inventory,239.80,114.83,144.48,123.04,192.23,255.41,275.46,222.67,222.67,97.75,88.39,111.03
Total Assets Turnover,0.30,0.51,0.56,0.35,0.16,0.22,0.29,0.40,0.40,0.81,0.88,0.67
Gross Profit Margin,-25.46,-12.93,1.23,-10.42,-61.16,-17.08,6.05,0.32,0.32,-5.20,7.55,1.59
Net Profit Margin,-46.87,-15.94,-4.14,-45.74,-133.74,6.92,-3.25,-6.10,-6.10,-11.23,6.24,-18.33
