Year,2020,2019,2018,2017,2016
Payout,34.24,42.73,52.78,67.53,13.03
Plow Back,65.76,57.27,47.22,32.48,86.97
Return on Equity,15.83,14.86,11.97,9.07,44.07
Return on Assets,15.60,14.61,11.76,8.93,43.40
Book Value per Share,23.06,20.79,18.99,18.77,18.11
Earning Per Share,3.65,3.09,2.27,1.70,7.98
Net Working Capital to Total Asseets,0.02,0.03,0.03,0.07,0.07
Current Ratio,2.96,3.51,3.41,7.56,9.86
Acid Test,2.96,3.51,3.41,7.56,9.86
Times Interest Earned,0.00,0.00,0.00,0.00,0.00
Total Debt Ratio,0.01,0.02,0.02,0.02,0.02
Debt To Equity,0.01,0.02,0.02,0.02,0.02
Return on Capital Employed,0.16,0.15,0.12,0.09,0.44
Average Collection Period,0.00,0.00,0.00,0.00,0.00
Days sales Inventory,0.00,0.00,0.00,0.00,0.00
Total Assets Turnover,0.00,0.00,0.00,0.00,0.00
Gross Profit Margin,0.00,0.00,0.00,0.00,0.00
Net Profit Margin,0.00,0.00,0.00,0.00,0.00
