Year,2020,2019,2018,2017,2016
Sales,0,0,0,0,0
COGS,0,0,0,0,0
Gross Profit,0,0,0,0,0
Administrative Expenses,"396,494,000","513,267,000","484,207,000","427,612,000","345,283,000"
Selling & Distributive Expenses,0,0,0,0,0
Financial Charges,0,0,0,0,0
Other Income,"8,615,960,000","7,502,052,000","5,649,153,000","4,313,630,000","18,195,382,000"
Change In Value of Investment,0,0,0,0,0
Other Expenses,"101,583,000","119,197,000","109,678,000","-98,898,000","-107,461,000"
EBITDA,"8,117,883,000","6,869,588,000","5,055,268,000","3,787,120,000","17,742,638,000"
EBIT,"8,117,883,000","6,869,588,000","5,055,268,000","3,787,120,000","17,742,638,000"
EBT,"8,117,883,000","6,869,588,000","5,055,268,000","3,787,120,000","17,742,638,000"
Tax,0,0,0,0,0
PAT,"8,117,883,000","6,869,588,000","5,055,268,000","3,787,120,000","17,742,638,000"
EPS,3.65,3.09,2.27,1.7,7.98
