Year,2020,2019,2018,2017,2016,2015,2014,2013,2012
Payout,53.24,51.37,39.01,45.58,43.97,41.46,33.93,34.23,38.74
Plow Back,46.76,48.63,60.99,54.42,56.03,58.54,66.07,65.77,61.26
Return on Equity,6.06,15.44,6.43,11.10,11.04,7.06,7.43,12.13,12.63
Return on Assets,2.57,6.49,2.54,5.10,6.04,3.53,3.93,6.32,4.72
Book Value per Share,123.91,126.06,109.64,98.84,92.73,85.40,99.10,96.32,71.51
Earning Per Share,7.51,19.47,7.05,10.97,10.23,6.03,7.37,11.69,9.04
Net Working Capital to Total Asseets,0.23,0.19,0.09,0.15,0.15,0.12,0.12,0.12,0.11
Current Ratio,1.63,1.44,1.20,1.45,1.43,1.35,1.36,1.37,1.27
Acid Test,0.90,0.98,0.75,0.79,0.71,0.74,0.76,0.76,0.78
Times Interest Earned,2.41,3.88,2.50,4.06,3.70,2.32,2.29,2.51,1.76
Total Debt Ratio,0.58,0.58,0.61,0.54,0.45,0.50,0.47,0.48,0.63
Debt To Equity,1.36,1.38,1.53,1.18,0.83,1.00,0.89,0.92,1.68
Return on Capital Employed,0.11,0.20,0.10,0.11,0.15,0.12,0.11,0.20,0.19
Average Collection Period,49.38,72.34,57.58,27.17,23.48,29.70,25.09,28.05,46.75
Days sales Inventory,68.08,48.01,56.03,53.84,52.38,42.14,34.24,33.03,35.83
Total Assets Turnover,1.55,1.65,1.46,1.68,1.93,1.99,2.23,2.35,2.15
Gross Profit Margin,9.65,9.37,7.54,9.38,10.30,9.40,7.24,10.00,8.35
Net Profit Margin,1.66,3.93,1.74,3.03,3.13,1.77,1.76,2.69,2.19
