Year,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-35.33
Return on Assets,-2.73,-4.10,-5.16,-8.66,-10.84,-15.88,-17.50,-5.95,-9.22,-2.29
Book Value per Share,-37.28,-35.21,-32.25,-28.70,-23.06,-17.33,-8.50,-3.74,-0.85,3.12
Earning Per Share,-2.07,-2.95,-3.55,-5.64,-5.75,-8.84,-9.64,-2.89,-3.86,-1.10
Net Working Capital to Total Asseets,-0.69,-0.69,-0.67,-0.65,-0.68,-0.52,-0.34,-0.18,-0.12,-0.01
Current Ratio,0.49,0.48,0.46,0.45,0.36,0.42,0.50,0.65,0.58,0.97
Acid Test,0.48,0.46,0.44,0.41,0.30,0.37,0.44,0.59,0.51,0.86
Times Interest Earned,0.56,0.32,0.28,0.11,0.11,-0.23,-0.56,0.35,0.22,0.69
Total Debt Ratio,1.49,1.49,1.47,1.44,1.43,1.31,1.15,1.08,1.02,0.94
Debt To Equity,-3.04,-3.05,-3.13,-3.27,-3.30,-4.21,-7.47,-14.04,-49.70,14.45
Return on Capital Employed,-0.10,-0.06,-0.08,-0.07,-0.25,-0.31,-0.20,0.07,0.04,0.07
Average Collection Period,3669.40,3294.37,2687.29,2082.68,359.11,154.14,149.18,218.78,70.90,70.19
Days sales Inventory,208.71,243.77,350.73,449.48,85.27,29.93,24.20,35.55,15.92,14.99
Total Assets Turnover,0.06,0.06,0.07,0.08,0.27,0.58,0.55,0.36,0.55,0.63
Gross Profit Margin,53.84,52.89,55.66,52.92,7.53,-1.01,-9.45,10.57,6.41,6.34
Net Profit Margin,-43.72,-64.04,-73.29,-110.29,-39.74,-27.61,-31.82,-16.56,-16.90,-3.62
