Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,-60.19,29.62,0.00,0.00,3826.86,111.96,284.81,89.99,16.57,95.41,93.83,0.00,28.42
Plow Back,160.19,70.38,100.00,100.00,-3726.86,-11.96,-184.81,10.01,83.43,4.59,6.17,100.00,71.58
Return on Equity,-17.80,24.57,11.95,0.19,7.84,2.87,5.31,7.35,63.14,10.00,4.08,1.09,25.54
Return on Assets,-16.05,22.12,7.68,0.19,7.61,2.85,5.26,7.18,50.08,4.87,1.98,0.54,15.41
Book Value per Share,28.00,41.23,20.98,18.49,19.50,77.88,89.26,90.73,95.61,41.93,39.18,37.59,48.21
Earning Per Share,-4.98,10.13,2.51,0.04,1.52,2.23,4.74,6.67,55.75,4.19,1.60,0.41,10.26
Net Working Capital to Total Asseets,0.46,0.39,0.64,0.97,0.97,0.99,0.99,0.97,0.79,0.42,0.36,0.35,0.48
Current Ratio,6.27,5.45,2.79,38.36,33.87,138.52,114.46,42.33,4.88,1.84,1.72,1.70,2.25
Acid Test,2.33,4.68,2.79,38.36,33.87,136.46,110.99,40.96,4.69,1.18,1.15,1.06,1.38
Times Interest Earned,-49.15,138.46,30.89,40.98,58.95,808.93,305.19,1003.45,8483.52,36.51,20.42,3.30,87.67
Total Debt Ratio,0.10,0.10,0.36,0.03,0.03,0.01,0.01,0.02,0.21,0.51,0.51,0.51,0.40
Debt To Equity,0.11,0.11,0.56,0.03,0.03,0.01,0.01,0.02,0.26,1.05,1.06,1.04,0.66
Return on Capital Employed,-0.17,0.30,0.17,0.02,0.12,0.04,0.06,0.07,0.62,0.16,0.09,0.06,0.37
Average Collection Period,63.26,58.46,241.03,0.00,0.00,17.58,22.36,82.08,1254.78,31.76,32.78,39.51,26.44
Days sales Inventory,395.76,35.99,0.00,0.00,0.00,176.34,333.65,548.30,1121.89,92.28,80.95,108.23,101.05
Total Assets Turnover,0.41,1.09,0.51,0.00,0.06,0.04,0.05,0.03,0.02,1.65,1.63,1.43,1.73
Gross Profit Margin,21.55,36.55,20.09,18.82,-6.16,25.14,32.18,33.48,35.98,20.04,21.13,24.73,30.39
Net Profit Margin,-39.35,20.29,15.04,55.30,130.96,69.41,107.66,222.69,2567.27,2.95,1.22,0.38,8.92
