Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,-1.41,8.05,5.94,5.65,20.36,26.78,18.16,12.43,7.18,-45.78,-57.83,0.00,-1716.98
Return on Assets,-0.42,2.88,2.60,2.63,9.58,9.34,4.21,2.41,0.96,-3.97,-7.05,-11.84,-17.29
Book Value per Share,7.63,7.80,7.54,6.67,5.83,4.64,2.57,1.96,1.46,0.96,1.28,-0.44,0.07
Earning Per Share,-0.11,0.63,0.45,0.38,1.19,1.03,0.47,0.26,0.11,-0.44,-0.74,-1.18,-1.22
Net Working Capital to Total Asseets,-0.06,-0.04,-0.03,-0.01,-0.01,-0.05,-0.14,-0.16,-0.16,-0.22,-0.13,-0.10,-0.27
Current Ratio,0.89,0.91,0.94,0.98,0.98,0.88,0.76,0.72,0.71,0.57,0.70,0.79,0.53
Acid Test,0.86,0.87,0.88,0.92,0.92,0.83,0.73,0.72,0.66,0.52,0.65,0.71,0.44
Times Interest Earned,1.02,2.41,5.24,3.24,6.08,2.54,1.85,1.28,1.33,-0.96,-1.16,-1.76,-7.31
Total Debt Ratio,0.70,0.64,0.56,0.53,0.53,0.65,0.77,0.81,0.84,0.89,0.85,1.00,0.93
Debt To Equity,2.34,1.79,1.29,1.15,1.13,1.87,3.32,4.16,5.42,7.92,5.63,731.13,12.44
Return on Capital Employed,0.05,0.05,0.06,0.05,0.14,0.12,0.16,0.15,0.08,-0.04,-0.07,-0.14,-0.35
Average Collection Period,126.17,126.16,193.94,205.31,179.46,159.70,141.91,121.37,110.70,109.89,101.94,81.86,67.55
Days sales Inventory,19.32,18.49,24.34,23.87,22.07,16.86,13.42,0.72,15.20,17.18,16.71,18.66,22.14
Total Assets Turnover,0.41,0.48,0.46,0.46,0.55,0.52,0.64,0.68,0.60,0.55,0.50,0.65,0.72
Gross Profit Margin,15.20,17.54,20.69,21.50,30.68,22.73,16.65,15.25,9.99,0.19,-3.90,-7.78,-16.23
Net Profit Margin,-1.02,5.97,5.67,5.67,17.27,18.04,6.62,3.56,1.61,-7.19,-14.09,-18.17,-23.95
