Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,54.41,59.83,51.53,51.54,51.04,53.95,48.15,38.41,31.40,37.89,32.20,36.63,28.13
Plow Back,45.59,40.17,48.47,48.46,48.96,46.05,51.85,61.59,68.60,62.11,67.80,63.37,71.87
Return on Equity,28.20,23.61,24.48,27.70,26.40,24.55,21.86,23.96,29.16,26.69,32.19,27.77,31.72
Return on Assets,21.61,18.48,19.45,21.78,20.56,19.25,16.59,17.27,20.51,18.21,23.96,19.03,21.65
Book Value per Share,299.78,258.37,277.43,245.10,222.65,188.79,161.51,152.11,152.88,138.45,130.22,113.04,112.07
Earning Per Share,84.54,61.01,67.92,67.91,58.78,46.34,35.31,36.45,44.58,36.95,41.92,31.40,28.44
Net Working Capital to Total Asseets,0.57,0.58,0.59,0.62,0.60,0.56,0.49,0.43,0.40,0.32,0.39,0.41,0.42
Current Ratio,3.94,3.90,4.07,4.14,4.01,4.12,3.55,2.90,2.68,2.21,2.85,2.52,2.56
Acid Test,2.46,2.51,2.72,3.01,2.91,2.79,2.24,1.51,1.12,0.77,1.52,1.46,1.34
Times Interest Earned,71.05,129.95,160.64,198.01,178.88,161.45,139.21,148.17,128.39,150.52,160.86,24.45,52.37
Total Debt Ratio,0.23,0.22,0.21,0.21,0.22,0.22,0.24,0.28,0.30,0.32,0.26,0.31,0.32
Debt To Equity,0.30,0.28,0.26,0.27,0.28,0.28,0.32,0.39,0.42,0.47,0.34,0.46,0.47
Return on Capital Employed,0.38,0.33,0.35,0.40,0.38,0.35,0.30,0.32,0.37,0.38,0.47,0.42,0.45
Average Collection Period,7.02,7.40,8.31,9.23,7.61,10.01,10.26,9.61,9.61,8.28,10.03,11.08,9.11
Days sales Inventory,77.01,72.23,75.96,65.74,66.03,60.56,56.99,71.78,80.08,87.95,63.57,49.21,73.97
Total Assets Turnover,1.93,1.95,1.93,1.96,1.88,2.11,2.28,2.20,2.37,2.21,2.40,2.84,2.27
Gross Profit Margin,28.98,28.33,35.53,37.47,36.08,31.59,28.33,27.99,28.92,29.40,33.22,24.16,29.40
Net Profit Margin,11.18,9.50,10.07,11.10,10.92,9.14,7.29,7.84,8.66,8.25,9.99,6.71,9.53
