Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,-8.09,3.07,16.01,16.38,-71.91,-331.94,-19.20,-49.14,-3.84,6.65
Return on Assets,-1.79,0.78,6.29,5.61,-1.01,-7.89,-2.13,-5.20,-0.79,1.64
Book Value per Share,9.96,10.81,9.63,9.08,0.79,1.35,6.66,5.61,8.36,7.82
Earning Per Share,-0.89,0.26,1.57,1.74,-1.43,-4.97,-1.62,-3.15,-0.82,0.39
Net Working Capital to Total Asseets,-0.11,-0.17,-0.05,-0.01,-0.19,-0.18,-0.18,-0.22,-0.08,0.08
Current Ratio,0.78,0.67,0.87,0.97,0.61,0.60,0.64,0.55,0.57,2.06
Acid Test,0.28,0.23,0.23,0.38,0.57,0.23,0.21,0.20,0.26,1.91
Times Interest Earned,0.60,0.78,2.78,1.93,0.81,-0.08,0.69,-0.25,-7.93,-10.43
Total Debt Ratio,0.77,0.73,0.58,0.63,0.83,0.82,0.84,0.84,0.73,0.66
Debt To Equity,3.26,2.74,1.41,1.71,4.78,4.46,5.43,5.37,2.65,1.97
Return on Capital Employed,0.12,0.09,0.22,0.16,0.10,-0.01,0.11,-0.03,-0.01,-0.01
Average Collection Period,2.00,10.80,2.03,3.94,14.65,2.93,7.59,16.06,0.00,0.00
Days sales Inventory,114.45,143.61,103.58,116.07,10.87,100.29,139.11,204.33,0.00,0.00
Total Assets Turnover,0.86,0.62,0.93,0.77,0.63,0.62,0.57,0.30,0.00,0.00
Gross Profit Margin,7.95,8.30,17.53,14.83,10.18,0.42,0.64,-1.56,0.00,0.00
Net Profit Margin,-2.07,1.25,6.79,7.25,-1.61,-12.76,-3.74,-17.18,0.00,0.00
