Year,2020,2019,2018,2017,2016
Revenue Excluding Capital,"982,925,000","922,608,000","891,054,000","875,148,000","727,954,000"
Capital Gains,0,0,0,0,0
Administrative Cost,"1,182,137,000","1,187,580,000","1,117,863,000","1,122,079,000","1,039,874,000"
Financial Charges,0,0,"344,000","444,000","144,103,000"
Other Income,"389,698,000","357,296,000","344,775,000","601,678,000","713,289,000"
Other Expense,0,"75,000",0,"35,431,000",0
Change In Value of Investment,0,0,0,0,0
EBT,"190,486,000","92,249,000","117,622,000","318,872,000","257,266,000"
Tax,"-3,744,000","4,065,000","53,393,000","41,578,000","124,994,000"
PAT,"194,230,000","88,184,000","64,229,000","277,294,000","132,272,000"
EPS,0.24,0.11,0.08,0.35,0.17
