Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Net Working Capital to Total Asseets,0.27,0.20,0.38,-0.11,-0.04,0.02,0.15,0.04,0.02,-0.02,-0.01,0.06,0.10
Current Ratio,2.06,1.43,1.88,0.78,0.92,1.04,1.28,1.08,1.03,0.97,0.97,1.14,1.14
Time Interest Earn,-5.24,-363.20,-4471.34,-3109.34,-1500.64,-640.02,-119.47,154.83,0.90,0.83,0.50,0.39,1.20
Return on Capital Employed,-0.02,-0.06,-0.27,-0.20,-0.17,-0.07,-0.02,0.02,0.26,0.27,0.08,0.09,0.33
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.63
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,-20.63
Return on Equity,-3.25,-101.19,-154.41,-45.53,-29.43,-4.30,-3.48,3.84,-2.23,-6.42,-15.13,-27.49,16.25
Return on Assets,-2.17,-3.50,-10.16,-12.01,-8.92,-1.29,-0.92,1.36,-0.52,-1.31,-4.35,-7.89,2.12
Book Value per Share,6.78,1.13,2.27,5.96,8.68,11.10,11.54,11.99,11.49,10.98,11.90,13.71,19.24
Earning Per Share,-0.24,-1.14,-3.50,-2.72,-2.55,-0.48,-0.40,0.46,-0.26,-0.70,-1.80,-3.77,3.13
