Year,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,0.00,0.00,0.00,0.00,-164.72,-57.88,-47.69
Return on Assets,-10.82,-13.95,-14.30,-21.10,-21.99,-17.97,-22.19
Book Value per Share,-2.79,-1.99,-1.07,-0.32,0.80,2.11,3.33
Earning Per Share,-0.80,-0.93,-0.74,-1.12,-1.31,-1.22,-1.59
Net Working Capital to Total Asseets,-0.87,-0.76,-0.81,-0.69,-0.48,-0.26,-0.14
Current Ratio,0.13,0.16,0.24,0.26,0.38,0.57,0.70
Acid Test,0.09,0.11,0.16,0.17,0.28,0.37,0.46
Times Interest Earned,-81.57,-17.39,-5.48,-7.50,-6.91,-7.81,-9.69
Total Debt Ratio,1.38,1.30,1.20,1.06,0.87,0.69,0.53
Debt To Equity,-3.65,-4.33,-5.88,-17.46,6.49,2.22,1.15
Return on Capital Employed,42.40,-1.36,1.81,-2.93,-0.84,-0.40,-0.42
Average Collection Period,52.75,66.67,802.65,546.17,384.23,209.91,395.65
Days sales Inventory,66.18,643.98,446.45,337.94,126.02,128.22,165.20
Total Assets Turnover,0.12,0.02,0.04,0.06,0.09,0.20,0.10
Gross Profit Margin,-84.20,-44.10,-71.06,-52.48,-167.34,-73.99,-148.23
Net Profit Margin,-89.82,-724.31,-332.80,-364.15,-246.64,-91.83,-213.06
