Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Payout,42.41,33.76,42.92,38.63,47.69,38.89,33.99,70.85,34.70,27.50
Plow Back,57.59,66.24,57.08,61.37,52.31,61.11,66.01,29.15,65.30,72.50
Return on Equity,15.44,19.38,18.89,28.41,26.25,26.09,25.31,6.30,21.53,19.30
Return on Assets,4.54,5.90,5.65,9.81,9.23,8.72,8.86,1.98,7.68,7.22
Book Value per Share,305.46,458.58,394.62,364.45,299.54,246.40,203.44,167.93,167.34,141.31
Earning Per Share,47.16,88.86,74.56,103.54,78.63,64.28,51.49,10.59,36.03,27.28
Net Working Capital to Total Asseets,-0.01,0.06,0.07,0.04,0.10,0.11,0.16,0.15,0.15,0.16
Current Ratio,0.98,1.11,1.14,1.08,1.20,1.22,1.29,1.26,1.26,1.31
Acid Test,0.50,0.67,0.64,0.67,0.67,0.63,0.64,0.66,0.62,0.71
Times Interest Earned,1.95,3.06,4.05,7.20,5.00,3.85,3.44,1.60,3.25,3.75
Total Debt Ratio,0.71,0.70,0.70,0.65,0.65,0.67,0.65,0.69,0.64,0.63
Debt To Equity,2.40,2.29,2.35,1.90,1.84,1.99,1.86,2.18,1.80,1.67
Return on Capital Employed,0.22,0.21,0.18,0.30,0.33,0.30,0.33,0.19,0.31,0.31
Average Collection Period,42.16,50.38,48.86,47.74,31.78,36.35,30.93,37.34,29.66,34.78
Days sales Inventory,77.20,77.70,85.06,67.92,71.21,71.83,72.24,76.88,74.10,63.28
Total Assets Turnover,1.34,1.32,1.32,1.50,1.71,1.86,2.10,1.89,2.05,2.07
Gross Profit Margin,18.67,17.41,17.05,19.89,17.19,16.44,16.12,12.71,13.59,13.73
Net Profit Margin,3.39,4.47,4.29,6.56,5.39,4.69,4.22,1.05,3.75,3.48
