Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,-9.28,-5.97,16.61,8.18,20.86,1.39,-117.53,0.00,0.00,-102.53,0.00,0.00,0.30
Return on Assets,-1.93,-1.29,3.87,1.86,2.45,0.13,-10.02,-11.18,-7.97,-5.56,-5.03,-32.68,0.05
Book Value per Share,4.92,5.29,5.67,4.87,6.70,5.31,5.17,-6.18,-1.17,1.98,-10.73,-6.61,13.01
Earning Per Share,-0.46,-0.32,0.94,0.40,1.40,0.07,-6.07,-5.01,-3.15,-4.91,-4.12,-26.35,0.04
Net Working Capital to Total Asseets,-0.28,-0.26,-0.25,-0.31,-0.33,-0.32,0.01,-0.20,-0.59,-0.46,-0.40,-0.20,-0.07
Current Ratio,0.51,0.56,0.56,0.37,0.53,0.52,1.02,0.70,0.39,0.44,0.52,0.72,0.92
Acid Test,0.16,0.15,0.13,0.14,0.33,0.38,0.78,0.50,0.31,0.29,0.32,0.52,0.44
Times Interest Earned,0.39,0.27,2.87,1.52,1.28,0.95,-1.26,-0.69,-0.08,0.12,0.36,-0.68,1.10
Total Debt Ratio,0.79,0.78,0.77,0.77,0.88,0.91,0.91,1.14,1.03,0.95,1.13,1.08,0.84
Debt To Equity,3.81,3.61,3.29,3.39,7.53,9.69,10.73,-8.25,-34.87,17.44,-8.64,-13.20,5.29
Return on Capital Employed,0.03,0.02,0.14,0.06,0.19,0.16,-0.16,-0.13,-0.16,0.04,0.15,-0.49,0.30
Average Collection Period,9.14,9.85,11.99,20.02,38.08,35.99,40.41,66.86,186.34,62.41,60.94,74.36,32.80
Days sales Inventory,53.19,57.68,71.25,56.81,37.91,20.85,35.59,32.39,53.72,41.13,45.79,34.90,130.83
Total Assets Turnover,1.38,1.52,1.28,0.78,1.42,1.71,1.56,1.51,0.50,1.09,1.28,1.41,1.12
Gross Profit Margin,1.67,0.99,5.50,5.21,7.57,5.13,0.46,0.11,-8.82,1.73,1.62,-8.76,5.98
Net Profit Margin,-1.40,-0.85,3.02,2.40,1.72,0.08,-6.42,-7.41,-15.82,-5.10,-3.93,-23.16,0.04
