Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,71.73,24.20,25.65,22.97,32.04,19.55,26.13,20.68,24.90,0.00,11.03,24.28,24.59
Plow Back,28.27,75.80,74.35,77.03,67.96,80.45,73.87,79.32,75.10,100.00,88.97,75.72,75.41
Return on Equity,2.03,6.06,10.21,11.84,8.65,12.03,11.56,15.29,11.73,9.09,10.75,15.89,17.77
Return on Assets,1.13,3.30,5.49,5.97,4.31,6.83,6.43,7.75,5.35,3.80,4.49,6.23,7.25
Book Value per Share,685.63,682.22,496.39,459.70,414.90,382.55,347.63,316.31,273.87,219.65,210.94,194.45,171.56
Earning Per Share,13.94,41.32,50.69,54.43,35.90,46.03,40.19,48.35,32.13,19.97,22.67,30.89,30.49
Net Working Capital to Total Asseets,-0.04,-0.03,-0.05,-0.04,-0.09,0.01,-0.04,-0.08,-0.12,-0.04,-0.03,-0.02,-0.06
Current Ratio,0.88,0.88,0.84,0.88,0.75,1.04,0.87,0.75,0.63,0.87,0.84,0.91,0.79
Acid Test,0.47,0.59,0.59,0.60,0.51,0.78,0.56,0.46,0.34,0.56,0.46,0.47,0.42
Times Interest Earned,1.41,2.66,3.99,4.18,5.48,4.34,3.83,3.82,2.44,1.74,2.02,2.63,3.50
Total Debt Ratio,0.44,0.46,0.46,0.50,0.50,0.43,0.44,0.49,0.54,0.58,0.58,0.61,0.59
Debt To Equity,0.80,0.84,0.86,0.98,1.01,0.76,0.80,0.97,1.19,1.39,1.40,1.55,1.45
Return on Capital Employed,0.08,0.09,0.13,0.12,0.12,0.14,0.17,0.21,0.19,0.16,0.15,0.20,0.21
Average Collection Period,37.19,33.83,33.86,42.16,41.84,49.67,52.32,42.22,38.94,30.08,27.58,39.22,37.55
Days sales Inventory,122.29,83.68,64.24,86.46,72.06,56.03,70.22,87.87,85.92,91.19,68.94,89.97,80.03
Total Assets Turnover,0.45,0.47,0.62,0.52,0.55,0.60,0.66,0.61,0.58,0.55,0.56,0.61,0.64
Gross Profit Margin,19.33,21.73,21.47,22.95,21.69,18.02,24.29,30.91,27.73,24.99,26.83,31.75,28.38
Net Profit Margin,2.53,6.97,8.86,11.58,7.84,11.31,9.78,12.79,9.22,6.88,8.07,10.20,11.36
