Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Net Working Capital to Total Asseets,-0.31,0.11,0.29,0.55,0.68,0.48,0.13,0.36,0.04,0.07,0.06,-0.10,-0.00
Current Ratio,0.39,1.25,1.79,3.59,7.22,13.71,2.02,3.59,1.12,1.18,1.17,0.82,0.99
Time Interest Earn,1.65,1.29,1.35,1.45,21.68,3.95,1.32,0.86,0.07,-0.48,1.06,1.12,1.24
Return on Capital Employed,0.12,0.09,0.07,0.04,0.08,0.06,0.03,0.04,0.01,-0.05,0.09,0.15,0.20
Payout,0.00,204.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,-104.89,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,3.88,1.32,1.27,1.00,6.21,3.48,0.48,-0.99,-11.17,-12.37,0.98,0.97,2.92
Return on Assets,1.72,0.69,0.69,0.62,4.33,3.32,0.41,-0.76,-5.83,-5.83,0.54,0.43,0.93
Book Value per Share,11.37,11.06,11.11,11.01,10.87,10.19,9.83,9.85,9.81,11.01,12.33,12.10,13.75
Earning Per Share,0.44,0.15,0.14,0.11,0.67,0.35,0.05,-0.10,-1.10,-1.36,0.12,0.12,0.40
