Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,-1.62,5.23,7.97,11.43,6.09,4.48,4.72,4.87,-4.80,-8.12,-1.98,-6.00
Return on Assets,-0.92,2.98,4.31,5.90,2.88,1.87,1.79,1.82,-1.76,-2.98,-0.76,-2.31
Book Value per Share,35.15,35.66,33.83,27.11,26.82,25.12,21.04,20.22,19.44,21.47,23.03,23.29
Earning Per Share,-0.57,1.87,2.71,3.11,1.81,1.12,0.99,0.98,-0.97,-1.74,-0.46,-1.39
Net Working Capital to Total Asseets,-0.07,-0.07,-0.07,-0.06,-0.09,-0.13,-0.16,-0.24,-0.25,-0.22,-0.17,-0.11
Current Ratio,0.56,0.63,0.58,0.67,0.61,0.46,0.38,0.23,0.19,0.20,0.30,0.39
Acid Test,0.21,0.18,0.22,0.28,0.31,0.23,0.16,0.12,0.11,0.12,0.15,0.27
Times Interest Earned,14.43,58.26,62.38,89.20,17.68,22.93,30.19,16.55,-30.19,-54.54,0.19,-0.79
Total Debt Ratio,0.43,0.43,0.46,0.48,0.53,0.58,0.62,0.63,0.63,0.63,0.62,0.61
Debt To Equity,0.76,0.75,0.85,0.94,1.12,1.39,1.64,1.67,1.72,1.72,1.62,1.60
Return on Capital Employed,0.01,0.05,0.06,0.09,0.04,0.03,0.03,0.03,-0.02,-0.04,0.01,-0.01
Average Collection Period,9.51,7.96,6.97,14.83,18.68,22.01,18.62,21.64,29.40,36.34,20.33,56.83
Days sales Inventory,60.49,75.32,67.86,65.58,60.45,53.93,56.67,41.23,37.82,43.80,53.13,40.74
Total Assets Turnover,0.40,0.45,0.42,0.51,0.46,0.43,0.40,0.33,0.25,0.17,0.26,0.21
Gross Profit Margin,10.18,15.72,19.71,20.55,14.13,11.33,11.17,12.38,-1.11,-8.75,7.63,-2.36
Net Profit Margin,-2.28,6.70,10.16,11.65,6.31,4.39,4.46,5.44,-7.13,-17.82,-2.87,-10.86
