Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,7.82,64.18,-474.87,0.00,0.00,-71.01,-35.80,-18.42,2.80,-11.21,-4.31,-2.56
Return on Assets,0.47,2.83,42.35,-8.02,-72.70,-11.16,-8.60,-6.42,1.14,-5.21,-2.15,-1.42
Book Value per Share,0.80,0.64,-1.15,-9.76,-8.96,4.58,7.47,10.41,12.03,11.89,13.22,13.61
Earning Per Share,0.04,-0.18,6.18,-1.72,-12.79,-3.30,-2.78,-1.92,0.34,-1.33,-0.57,-0.35
Net Working Capital to Total Asseets,-0.39,-0.35,-0.66,-1.12,-1.04,-0.44,-0.21,-0.21,-0.13,-0.22,-0.05,0.02
Current Ratio,0.25,0.33,0.17,0.10,0.14,0.22,0.50,0.49,0.62,0.43,0.80,1.15
Acid Test,0.22,0.30,0.16,0.09,0.13,0.19,0.46,0.45,0.58,0.39,0.71,0.97
Times Interest Earned,0.61,3.44,18.96,-3.53,-11.83,-1.35,-4.53,-1.10,1.14,-1.03,-0.19,-1.39
Total Debt Ratio,0.80,0.79,0.87,1.31,1.29,0.70,0.63,0.65,0.59,0.54,0.50,0.44
Debt To Equity,4.09,3.82,6.72,-4.24,-4.50,2.35,1.69,1.87,1.47,1.15,1.01,0.79
Return on Capital Employed,0.04,0.11,2.24,0.53,2.55,-0.18,-0.18,-0.09,0.05,-0.06,-0.01,-0.01
Average Collection Period,84.32,140.24,169.12,152.69,80.15,143.79,119.44,134.58,148.38,98.60,91.89,115.22
Days sales Inventory,37.55,31.96,27.10,20.58,15.95,55.33,38.84,23.99,26.55,21.29,25.92,90.71
Total Assets Turnover,0.25,0.28,0.16,0.12,0.15,0.09,0.12,0.28,0.31,0.34,0.37,0.15
Gross Profit Margin,38.55,30.46,16.72,-51.52,-90.84,-41.60,-26.82,7.41,24.85,11.58,16.31,26.87
Net Profit Margin,1.86,10.25,262.81,-69.50,-485.18,-120.84,-72.20,-23.17,3.63,-15.37,-5.84,-9.68
