Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,-66.59,-94.20,-28.08,9.17,13.23,-15.94,-8.50,-20.95,-50.19,-47.23,9.76,8.41,30.85
Return on Assets,-5.70,-13.51,-8.01,3.25,4.03,-3.96,-2.51,-6.76,-19.32,-24.16,6.00,4.84,16.43
Book Value per Share,2.14,3.54,6.86,8.76,7.97,6.90,8.00,8.69,10.52,15.80,23.26,22.31,20.69
Earning Per Share,-1.43,-3.33,-1.93,0.80,1.05,-1.10,-0.68,-1.82,-5.28,-7.46,2.37,1.93,6.36
Net Working Capital to Total Asseets,-0.35,-0.28,-0.15,-0.32,-0.33,-0.36,-0.34,-0.29,-0.20,0.22,0.22,0.33,0.40
Current Ratio,0.61,0.67,0.79,0.49,0.52,0.52,0.51,0.57,0.66,2.74,3.47,13.61,15.53
Acid Test,0.15,0.19,0.37,0.17,0.16,0.14,0.14,0.20,0.23,1.23,2.31,7.38,10.53
Times Interest Earned,-0.92,-5.67,-3.61,2.81,3.09,-0.31,0.32,-0.37,-2.17,-3.40,4.33,2.27,6.90
Total Debt Ratio,0.91,0.86,0.71,0.65,0.70,0.75,0.71,0.68,0.62,0.49,0.39,0.42,0.47
Debt To Equity,10.69,5.97,2.50,1.83,2.29,3.03,2.39,2.10,1.60,0.96,0.63,0.74,0.88
Return on Capital Employed,-0.24,-0.72,-0.20,0.15,0.23,-0.04,0.04,-0.06,-0.33,-0.22,0.10,0.07,0.20
Average Collection Period,608.50,339.63,244.79,562.11,566.84,597.30,634.60,604.62,1203.47,-780.86,365.50,380.76,237.85
Days sales Inventory,5795.62,2939.41,945.07,1209.95,1783.90,1954.71,2673.94,1605.86,1934.38,-7939.36,272.44,575.12,432.17
Total Assets Turnover,0.03,0.07,0.11,0.06,0.06,0.05,0.05,0.05,0.03,-0.06,0.16,0.14,0.18
Gross Profit Margin,27.22,24.10,-3.62,3.71,11.56,1.28,25.89,-7.72,-71.00,84.39,11.58,25.15,34.34
Net Profit Margin,-162.98,-203.57,-72.83,52.67,70.52,-74.27,-52.30,-129.44,-672.88,436.72,38.39,34.62,91.93
