Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,56.61,26.20,20.98,47.44,98.36,98.10,22.82,7.75,50.52,12.72,4.86,14.17,48.23
Plow Back,43.39,73.80,79.02,52.56,1.64,1.90,77.18,92.25,49.48,87.28,95.14,85.83,51.77
Return on Equity,7.68,13.79,12.45,6.91,0.97,2.96,12.74,27.73,17.72,34.03,43.12,7.72,1.63
Return on Assets,4.38,7.59,7.00,3.98,0.55,1.76,7.37,20.62,12.21,26.94,26.78,2.65,0.54
Book Value per Share,689.81,691.78,612.53,549.06,521.09,516.27,515.96,465.70,390.88,346.56,238.49,137.06,127.35
Earning Per Share,53.00,95.40,76.28,37.95,5.08,15.29,65.72,129.12,69.27,117.92,102.83,10.58,2.07
Net Working Capital to Total Asseets,0.20,0.19,0.14,0.08,0.04,0.04,0.10,0.24,0.19,0.32,0.14,0.01,0.01
Current Ratio,1.63,1.56,1.40,1.23,1.12,1.14,1.32,2.31,1.96,3.31,1.56,1.01,1.02
Acid Test,0.62,0.71,0.68,0.47,0.47,0.37,0.46,0.66,0.57,1.31,0.53,0.26,0.42
Times Interest Earned,4.25,5.73,6.87,6.43,2.07,2.00,3.64,9.33,6.79,7.76,5.03,1.47,1.41
Total Debt Ratio,0.43,0.45,0.44,0.42,0.44,0.40,0.42,0.26,0.31,0.21,0.38,0.66,0.67
Debt To Equity,0.75,0.82,0.78,0.74,0.78,0.68,0.73,0.34,0.45,0.26,0.61,1.91,2.01
Return on Capital Employed,0.11,0.17,0.14,0.10,0.05,0.08,0.13,0.28,0.20,0.38,0.47,0.21,0.13
Average Collection Period,45.69,65.60,58.39,23.96,28.72,21.48,29.91,21.06,18.72,23.91,24.15,22.22,43.65
Days sales Inventory,102.81,110.02,92.04,90.27,82.10,74.40,90.91,88.09,79.14,51.46,75.11,115.99,93.24
Total Assets Turnover,1.24,1.10,1.12,1.15,1.08,1.29,1.15,1.56,1.47,2.31,1.57,1.18,1.04
Gross Profit Margin,8.24,10.84,10.57,8.72,6.24,7.91,11.03,18.53,14.77,15.88,23.27,13.39,12.48
Net Profit Margin,3.54,6.92,6.24,3.47,0.51,1.36,6.38,13.25,8.30,11.68,17.03,2.26,0.52
