Year,2020,2019,2018,2017
Payout,0.00,0.00,0.00,15.73
Plow Back,100.00,100.00,100.00,84.27
Return on Equity,1.56,7.85,19.43,18.46
Return on Assets,0.98,4.16,11.58,10.14
Book Value per Share,49.46,48.44,44.39,43.05
Earning Per Share,0.96,3.80,8.62,7.95
Net Working Capital to Total Asseets,0.31,0.20,0.24,0.26
Current Ratio,2.47,1.70,1.79,1.73
Acid Test,1.34,0.53,0.81,0.62
Times Interest Earned,1.64,5.60,53.02,115.06
Total Debt Ratio,0.37,0.47,0.40,0.45
Debt To Equity,0.59,0.89,0.68,0.82
Return on Capital Employed,0.05,0.10,0.23,0.23
Average Collection Period,15.47,13.11,8.98,7.27
Days sales Inventory,93.46,82.01,49.89,62.08
Total Assets Turnover,1.03,1.63,2.47,2.57
Gross Profit Margin,10.13,10.28,11.21,10.49
Net Profit Margin,0.96,2.55,4.69,3.95
