Year,2020,2019,2018,2017,2016,2015,2014,2013,2012
Payout,103.23,93.51,88.12,111.97,103.23,53.14,48.65,0.00,0.00
Plow Back,-3.23,6.49,11.88,-11.97,-3.23,46.86,51.35,100.00,100.00
Return on Equity,37.38,43.32,38.77,24.72,21.86,35.34,23.81,21.93,-18.58
Return on Assets,13.11,14.38,14.60,9.53,8.81,14.26,7.36,5.00,-3.01
Book Value per Share,33.69,32.09,32.20,30.71,31.02,31.95,26.15,20.50,14.73
Earning Per Share,12.59,13.90,12.48,7.60,6.78,11.30,6.29,4.66,-2.59
Net Working Capital to Total Asseets,0.08,0.05,0.02,-0.01,0.03,-0.02,0.01,0.07,-0.12
Current Ratio,1.21,1.12,1.07,0.98,1.13,0.92,1.02,1.34,0.55
Acid Test,0.93,0.95,0.85,0.71,0.64,0.55,0.86,1.09,0.33
Times Interest Earned,6.77,8.39,11.41,6.86,5.26,5.61,2.80,1.97,0.63
Total Debt Ratio,0.65,0.67,0.62,0.61,0.60,0.60,0.69,0.77,0.84
Debt To Equity,1.85,2.01,1.65,1.59,1.48,1.48,2.23,3.39,5.17
Return on Capital Employed,0.27,0.40,0.31,0.24,0.21,0.35,0.24,0.20,0.09
Average Collection Period,9.86,46.11,13.11,20.18,39.83,9.42,4.50,5.52,12.47
Days sales Inventory,104.91,69.59,79.10,75.58,81.53,76.25,54.67,74.94,101.85
Total Assets Turnover,0.59,0.61,0.58,0.59,0.68,0.83,0.55,0.46,0.31
Gross Profit Margin,38.72,41.28,42.20,32.49,24.61,36.73,36.80,44.13,32.20
Net Profit Margin,22.40,23.43,25.20,16.09,12.98,17.15,13.36,10.97,-9.58
