Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Net Working Capital to Total Asseets,0.08,0.04,-0.10,0.04,0.07,-0.14,-0.09,-0.17,-0.15,-0.14,-0.04,0.04,0.07
Current Ratio,1.17,1.08,0.84,1.10,1.15,0.80,0.86,0.78,0.84,0.84,0.94,1.06,1.10
Time Interest Earn,4.24,2.69,2.12,0.68,3.44,0.22,5.08,-5.89,1.10,-0.34,-0.26,3.89,0.94
Return on Capital Employed,0.18,0.13,0.04,0.03,0.09,-0.01,0.28,0.59,0.62,-0.28,-0.12,0.08,0.16
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,15.82,-45.41,3.15,-3.92,16.53,3.36,54.25,503.12,-3.31,0.00,-320.06,16.56,-3.95
Return on Assets,4.76,-12.25,0.75,-0.88,3.60,0.51,7.44,25.11,0.43,-12.88,-15.34,2.11,-1.02
Book Value per Share,1.02,0.90,0.87,0.84,0.85,0.64,0.64,0.25,-0.99,-1.01,0.82,3.66,6.84
Earning Per Share,0.16,-0.41,0.03,-0.03,0.14,0.02,0.35,1.24,0.03,-1.53,-2.70,2.21,-0.08
