Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Net Working Capital to Total Asseets,0.40,0.43,0.62,0.51,0.75,0.70,0.80,0.70,0.84,0.84,0.86,0.56,0.56,0.34
Current Ratio,2.01,1.93,3.00,2.21,5.11,4.01,7.02,3.91,10.19,9.10,8.90,2.33,2.30,1.54
Time Interest Earn,3.70,14.89,4.65,386.16,53.51,579.42,15.52,16.92,29.78,-13.02,33.45,13.36,40.25,24.78
Return on Capital Employed,0.06,0.04,0.10,0.09,0.13,0.16,0.09,0.15,0.05,-0.02,0.09,0.24,0.15,0.39
Payout,0.00,0.00,0.00,0.00,0.00,70.78,116.51,51.67,0.00,-323.18,242.44,57.22,59.11,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,29.22,-16.51,48.33,100.00,423.18,-142.44,42.78,40.89,100.00
Return on Equity,2.12,0.98,3.29,6.69,8.71,10.76,5.92,10.71,3.43,-2.80,6.25,19.02,13.00,50.80
Return on Assets,1.15,0.53,2.27,3.84,7.11,8.24,5.14,8.13,3.12,-2.51,5.57,10.99,7.44,11.80
Book Value per Share,73.09,68.63,68.45,67.24,57.71,52.53,50.72,54.21,51.91,55.21,65.98,91.90,130.13,37.68
Earning Per Share,1.31,0.67,2.25,4.13,5.03,5.65,3.00,5.81,1.78,-1.55,4.12,12.48,19.02,19.15
