Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.60
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,75.40
Return on Equity,0.04,-11.88,-3.65,10.18,6.87,2.97,1.02,2.05,26.26,-144.38,15.19,-65.11,19.73
Return on Assets,0.02,-4.83,-1.68,3.93,2.92,1.21,0.38,0.13,1.76,-8.58,2.78,-10.76,5.28
Book Value per Share,91.74,91.70,102.60,57.80,51.91,48.34,46.91,4.46,4.37,3.22,11.75,9.97,20.61
Earning Per Share,0.04,-10.90,-3.75,5.89,3.57,1.43,0.48,0.09,1.15,-4.65,1.79,-6.49,4.07
Net Working Capital to Total Asseets,-0.03,-0.03,0.02,0.07,0.03,0.00,-0.01,-0.02,0.04,0.02,0.15,0.13,0.11
Current Ratio,0.95,0.95,1.05,1.11,1.06,1.01,0.99,0.98,1.04,1.03,1.19,1.16,1.15
Acid Test,0.57,0.62,0.69,0.87,0.91,0.80,0.67,0.67,0.74,0.77,0.93,0.94,0.91
Times Interest Earned,1.59,-1.12,0.66,8.54,21.68,20.41,11.28,1.14,6.04,-2.03,1.43,0.04,3.36
Total Debt Ratio,0.59,0.59,0.54,0.61,0.57,0.59,0.62,0.93,0.93,0.94,0.82,0.83,0.73
Debt To Equity,1.46,1.46,1.17,1.59,1.35,1.46,1.65,14.29,13.91,15.83,4.46,5.05,2.73
Return on Capital Employed,0.08,-0.05,0.02,0.16,0.10,0.06,0.04,1.07,0.53,-0.85,0.51,0.02,0.32
Average Collection Period,105.10,91.42,93.80,88.77,74.87,87.93,109.36,101.24,111.70,134.49,154.10,186.27,121.10
Days sales Inventory,118.72,102.76,83.86,57.56,32.32,55.38,105.07,88.73,99.32,101.54,87.96,86.10,62.83
Total Assets Turnover,0.85,0.79,0.98,1.25,1.19,0.99,0.84,1.45,1.22,1.04,1.04,1.11,1.24
Gross Profit Margin,19.29,12.06,15.32,24.03,21.63,18.51,17.08,17.20,16.29,15.77,17.12,30.04,18.76
Net Profit Margin,0.02,-6.12,-1.72,3.15,2.45,1.22,0.46,0.09,1.44,-8.27,2.68,-9.65,4.25
