Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,14.33,14.09,16.54,49.07,411.02,11.36,48.55,38.78,34.77,0.00,0.00,0.00
Plow Back,85.67,85.91,83.46,50.93,-311.02,88.64,51.45,61.22,65.23,100.00,100.00,100.00
Return on Equity,20.86,19.73,19.58,20.77,3.44,26.84,28.17,29.75,28.38,34.20,1.30,1.60
Return on Assets,16.86,12.96,11.93,12.41,2.06,13.53,11.00,10.74,7.24,7.91,0.21,0.31
Book Value per Share,66.92,53.97,46.32,39.25,40.41,32.80,29.25,26.01,20.27,15.52,10.21,10.09
Earning Per Share,13.96,10.65,9.07,8.15,1.39,8.80,8.24,7.74,5.75,5.30,0.14,0.30
Net Working Capital to Total Asseets,0.49,0.34,0.33,0.33,0.26,0.40,0.26,0.24,0.15,333.23,0.04,-0.04
Current Ratio,3.58,2.05,2.18,2.78,1.69,4.05,2.05,2.10,1.47,1633.21,1.17,0.10
Acid Test,3.43,1.78,1.84,2.40,1.57,3.44,1.81,1.87,1.43,1633.12,1.06,0.10
Times Interest Earned,5.33,4.99,5.36,4.85,1.86,3.18,2.81,2.21,1.71,1.65,1.39,0.00
Total Debt Ratio,0.19,0.34,0.39,0.40,0.40,0.50,0.61,0.64,0.75,0.77,0.84,0.80
Debt To Equity,0.24,0.52,0.64,0.67,0.67,0.98,1.56,1.77,2.92,3.33,5.21,4.12
Return on Capital Employed,0.26,0.24,0.20,0.19,0.07,0.23,0.23,0.25,0.26,0.25,0.01,0.00
Average Collection Period,566.93,366.44,265.82,217.04,264.68,131.67,137.45,84.41,185.59,110.86,956.47,0.00
Days sales Inventory,57.82,85.42,71.67,53.49,28.66,38.83,23.95,22.73,25.22,32.02,261.51,0.00
Total Assets Turnover,0.40,0.54,0.63,0.65,0.64,0.97,1.04,0.98,0.75,0.88,0.05,0.00
Gross Profit Margin,54.69,32.08,24.96,25.70,8.20,21.02,16.95,20.05,23.41,23.24,21.88,0.00
Net Profit Margin,42.11,24.19,18.97,19.19,3.22,13.97,10.62,10.93,9.66,8.95,4.63,0.00
