Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2009,2008
Payout,69.77,78.07,71.13,121.44,72.05,87.70,58.23,30.19,28.32,38.27,24.59,34.70
Plow Back,30.23,21.93,28.88,-21.43,27.95,12.30,41.77,69.81,71.69,61.73,75.41,65.30
Return on Equity,36.66,34.46,36.00,5.70,19.61,22.21,13.39,14.66,28.39,16.42,25.09,8.63
Return on Assets,19.18,17.34,23.08,2.76,13.82,14.04,6.78,6.83,10.32,4.26,7.57,1.99
Book Value per Share,195.52,185.88,207.00,144.47,134.49,128.33,128.22,113.00,99.51,79.57,64.83,50.10
Earning Per Share,71.67,64.05,74.52,8.23,26.37,28.51,17.17,16.56,28.25,13.07,16.27,4.32
Net Working Capital to Total Asseets,0.26,0.23,0.27,0.06,0.15,0.10,0.03,-0.04,-0.03,-0.03,-0.00,0.06
Current Ratio,1.58,1.49,1.80,1.12,1.57,1.29,1.07,0.92,0.96,0.95,1.00,1.17
Acid Test,1.15,1.00,0.72,0.29,0.62,0.49,0.32,0.39,0.38,0.20,0.25,0.27
Times Interest Earned,26.86,19.79,22.39,2.84,7.14,5.43,2.57,2.48,3.03,1.91,2.24,1.53
Total Debt Ratio,0.48,0.50,0.36,0.51,0.30,0.37,0.49,0.53,0.64,0.74,0.70,0.77
Debt To Equity,0.91,0.99,0.56,1.06,0.42,0.58,0.98,1.15,1.75,2.86,2.32,3.33
Return on Capital Employed,0.40,0.38,0.39,0.12,0.25,0.30,0.28,0.27,0.40,0.37,0.26,0.12
Average Collection Period,12.84,4.13,11.87,1.94,2.57,11.76,2.78,1.25,18.69,28.61,18.24,5.03
Days sales Inventory,75.38,100.95,137.91,160.81,62.30,71.52,121.42,82.47,121.69,178.61,109.62,211.19
Total Assets Turnover,1.26,1.12,1.34,1.03,1.75,1.66,1.26,1.38,1.25,1.17,1.12,0.73
Gross Profit Margin,25.82,24.64,27.67,9.60,13.18,14.06,14.15,13.78,19.44,15.11,18.85,21.93
Net Profit Margin,15.26,15.52,17.26,2.68,7.90,8.44,5.40,4.94,8.22,3.65,6.78,2.72
