Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.17,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.83,100.00
Return on Equity,0.00,0.00,0.00,0.00,0.00,0.00,-1448.06,-110.85,-64.28,-27.05,8.34,12.72
Return on Assets,-18.02,-6.00,-68.38,-17.11,-14.58,-13.46,-14.61,-15.00,-15.99,-10.24,3.82,5.10
Book Value per Share,-34.88,-32.20,-31.19,-18.59,-11.55,-5.66,0.52,8.07,16.19,26.59,36.29,80.24
Earning Per Share,-2.59,-1.01,-12.61,-5.73,-5.88,-6.18,-7.58,-8.95,-10.40,-7.19,3.74,5.19
Net Working Capital to Total Asseets,-2.64,-2.09,-1.77,-0.70,-0.46,-0.31,-0.16,-0.04,0.08,0.09,0.18,0.14
Current Ratio,0.11,0.15,0.19,0.46,0.57,0.67,0.80,0.94,1.13,1.15,1.35,1.25
Acid Test,0.05,0.06,0.06,0.29,0.35,0.41,0.47,0.52,0.58,0.60,0.57,0.50
Times Interest Earned,-2.18,-0.39,-18.72,-9.00,-8.75,-7.82,-9.89,-1.53,-1.04,-0.36,1.57,1.67
Total Debt Ratio,3.43,2.91,2.69,1.56,1.29,1.12,0.99,0.86,0.75,0.62,0.54,0.60
Debt To Equity,-1.41,-1.52,-1.59,-2.80,-4.49,-9.11,98.11,6.39,3.02,1.64,1.18,1.49
Return on Capital Employed,0.06,0.01,0.55,0.49,2.14,-1.98,-0.70,-0.32,-0.21,-0.07,0.25,0.32
Average Collection Period,73.08,116.34,70.27,601.18,568.89,505.87,606.26,781.89,673.06,340.38,151.17,103.24
Days sales Inventory,327.78,428.64,367.70,301.06,323.54,295.06,329.59,523.71,700.10,333.51,346.43,252.14
Total Assets Turnover,0.15,0.14,0.18,0.20,0.21,0.24,0.21,0.16,0.18,0.35,0.58,0.78
Gross Profit Margin,-44.26,-25.58,-58.45,-37.09,-28.92,-23.60,-39.41,-28.87,1.70,-2.71,26.63,24.00
Net Profit Margin,-123.14,-41.73,-388.00,-87.48,-70.83,-55.15,-69.93,-93.43,-89.92,-29.03,6.60,6.52
