Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Net Premium Revenue,0,0,0,"1,380,740,000","1,121,949,000","1,044,933,000","1,066,554,000","939,849,000","852,329,000","720,733,000","614,586,000"
Net Claims,0,0,0,"697,866,000","586,425,000","594,539,000","766,535,000","583,482,000","530,525,000","364,411,000","257,052,000"
Direct Expenses,0,0,0,"408,632,000","369,515,000","335,876,000","287,064,000","271,529,000","181,056,000","186,172,000","169,628,000"
Net Commission,0,0,0,"-48,895,000","-90,402,000","-93,637,000","-91,701,000","-146,993,000","-67,034,000","-34,945,000","-65,197,000"
Under Writing Results,0,0,0,"323,137,000","256,411,000","208,195,000","104,616,000","231,831,000","207,782,000","205,095,000","253,103,000"
Investment Income,0,"-156,381,000",0,"2,128,713,000","1,445,480,000","940,878,000","657,728,000","402,173,000","492,524,000","929,344,000","-414,649,000"
Administrative & Other Expenses,"307,703,000","200,462,000","485,195,000","420,568,000","200,523,000","262,571,000","279,012,000","211,440,000","171,320,000","175,617,000","219,016,000"
Other Income,"1,219,245,000","2,196,732,000","236,419,000","35,844,000","30,385,000","55,599,000","481,520,000","-836,760,000","-472,354,000","-38,051,000","745,328,000"
Change In Value of Investement,0,0,0,0,0,0,"-53,826,000",0,0,0,0
Statutory Funds Transfer,0,0,0,0,0,0,0,0,0,0,0
EBT,"911,542,000","1,839,889,000","-248,776,000","2,067,126,000","1,531,753,000","942,101,000","911,026,000","-414,196,000","56,632,000","920,771,000","364,766,000"
Tax,"14,813,000","39,842,000","-2,382,000","633,251,000","238,707,000","119,300,000","98,381,000","11,128,000","6,929,000","84,215,000","100,800,000"
PAT,"896,729,000","1,800,047,000","-246,394,000","1,433,875,000","1,293,046,000","822,801,000","812,645,000","-425,324,000","49,703,000","836,556,000","263,966,000"
EPS,6.29,12.63,-2.01,11.69,10.54,6.71,7.29,-3.81,0.45,11.64,3.67
