Year,2019,2018,2017,2016,2015,2014,2013,2012
Payout,0.00,50.82,78.13,76.37,89.39,47.91,147.29,74.02
Plow Back,100.00,49.18,21.87,23.63,10.61,52.09,-47.30,25.98
Return on Equity,13.78,5.67,7.59,7.88,6.86,6.45,5.33,11.85
Return on Assets,6.91,2.75,4.11,4.18,3.96,3.36,2.88,6.33
Book Value per Share,39.04,34.68,33.71,33.22,32.61,32.38,31.81,32.79
Earning Per Share,5.38,1.97,2.56,2.62,2.24,2.09,1.70,3.81
Net Working Capital to Total Asseets,0.23,0.15,0.00,0.10,0.16,0.13,0.17,0.17
Current Ratio,1.47,1.29,1,1.24,1.44,1.32,1.36,1.36
Acid Test,1.37,1.19,0.88,1.11,1.27,1.19,1.28,1.29
Times Interest Earned,2.16,1.78,2.32,2.39,2.05,1.81,1.67,2.45
Total Debt Ratio,0.50,0.51,0.46,0.47,0.42,0.48,0.46,0.47
Debt To Equity,0.99,1.06,0.85,0.89,0.73,0.92,0.85,0.87
Return on Capital Employed,0.26,0.13,0.13,0.13,0.12,0.13,0.13,0.20
Average Collection Period,502.14,296.58,216.24,204.20,110.39,100.12,101.70,117.47
Days sales Inventory,57.62,32.53,27.57,35.83,24.41,15.32,8.50,8.36
Total Assets Turnover,0.43,0.62,0.77,0.65,1.03,1.31,1.64,1.44
Gross Profit Margin,32.15,11.25,9.86,12.08,9.24,6.08,4.98,7.53
Net Profit Margin,15.92,4.45,5.31,6.47,3.85,2.56,1.76,4.39
