Year,2019,2018,2017,2016,2015,2014,2013
Payout,31.77,37.59,54.42,61.00,70.26,68.04,110.44
Plow Back,68.23,62.41,45.58,39.00,29.74,31.96,-10.44
Return on Equity,24.65,25.18,24.93,25.09,26.20,28.53,19.34
Return on Assets,14.76,13.16,13.17,12.02,10.13,9.52,5.50
Book Value per Share,38.32,31.17,26.90,23.85,20.37,18.03,16.39
Earning Per Share,9.44,7.85,6.71,5.98,5.34,5.14,3.17
Net Working Capital to Total Asseets,0.08,-0.02,0.02,0.03,-0.02,-0.02,-0.00
Current Ratio,1.22,0.96,1.06,1.12,0.93,0.94,0.99
Acid Test,1.22,0.94,1.04,1.09,0.91,0.90,0.96
Times Interest Earned,4.02,4.39,4.66,4.04,2.79,2.15,1.67
Total Debt Ratio,0.40,0.48,0.47,0.52,0.61,0.67,0.72
Debt To Equity,0.67,0.91,0.89,1.09,1.59,2.00,2.52
Return on Capital Employed,0.31,0.29,0.24,0.21,0.22,0.25,0.19
Average Collection Period,236.24,184.04,160.31,133.74,123.65,87.06,135.46
Days sales Inventory,0.00,3.88,5.32,5.34,4.00,5.64,10.08
Total Assets Turnover,0.60,0.72,0.62,0.62,0.74,0.89,0.53
Gross Profit Margin,33.66,24.36,28.37,26.69,21.96,20.23,26.45
Net Profit Margin,24.48,18.17,21.15,19.36,13.77,10.73,10.30
