Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,0
Payout,56.49,72.67,93.12,97.37,81.89,27.11,27.10,32.79,35.72,41.59,142.28,142.31,97.37
Plow Back,43.51,27.33,6.88,2.63,18.11,72.89,72.90,67.21,64.28,58.41,-42.28,-42.30,2.63
Return on Equity,9.72,20.36,29.29,27.56,27.70,25.91,28.91,31.16,31.71,30.08,25.50,9.64,27.56
Return on Assets,6.26,13.28,21.86,22.79,21.75,20.46,22.64,22.40,22.21,20.33,16.63,6.81,22.79
Book Value per Share,136.59,135.19,146.64,149.06,132.27,111.05,89.35,68.51,52.97,39.96,33.08,36.45,149.06
Earning Per Share,13.28,27.52,42.95,41.08,36.64,28.77,25.83,21.35,16.80,12.02,8.43,3.51,41.08
Net Working Capital to Total Asseets,0.26,0.31,0.47,0.58,0.55,0.56,0.51,0.45,0.39,0.36,0.33,0.41,0.58
Current Ratio,1.80,1.96,2.96,4.61,3.73,3.86,3.56,2.71,2.42,2.19,2.03,2.50,4.61
Acid Test,0.88,1.27,2.18,3.31,2.81,2.76,2.27,1.66,1.26,0.97,0.94,1.24,3.31
Times Interest Earned,48.29,279.34,581.71,827.62,851.86,905.60,1248.03,1355.06,739.44,494.27,462.82,202.49,827.62
Total Debt Ratio,0.36,0.35,0.25,0.17,0.21,0.21,0.22,0.28,0.30,0.32,0.35,0.29,0.00
Debt To Equity,0.55,0.53,0.34,0.21,0.27,0.27,0.28,0.39,0.43,0.48,0.53,0.42,0.00
Return on Capital Employed,0.18,0.32,0.40,0.38,0.38,0.39,0.41,0.44,0.44,0.43,0.35,0.15,0.38
Average Collection Period,10.94,14.04,12.80,13.74,8.21,8.95,11.58,13.60,11.61,8.74,10.12,8.86,13.74
Days sales Inventory,106.75,84.33,82.25,95.80,85.97,88.47,98.86,97.77,105.50,106.98,106.31,127.53,93.09
Total Assets Turnover,1.45,1.47,1.36,1.33,1.28,1.43,1.54,1.63,1.75,1.90,1.70,1.41,1.33
Gross Profit Margin,28.28,32.89,38.67,40.05,38.86,38.34,38.46,37.48,36.04,33.53,29.14,29.93,40.05
Net Profit Margin,4.31,9.07,16.12,17.20,16.94,14.30,14.69,13.74,12.70,10.70,9.77,4.83,17.20
