Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,65.63,56.77,39.02,15.46,0.00,0.00,0.00,0.00,0.00,0.00,16.05
Plow Back,100.00,100.00,34.37,43.23,60.98,84.54,100.00,100.00,100.00,100.00,100.00,100.00,83.95
Return on Equity,-4.99,-2.47,1.38,3.57,1.98,3.36,5.34,3.53,3.24,2.85,1.88,-2.09,2.70
Return on Assets,-3.14,-1.60,0.98,2.71,1.71,3.06,4.76,3.20,2.91,2.55,1.68,-1.64,2.15
Book Value per Share,1073.82,1073.20,1101.96,987.10,970.21,961.29,821224593.75,784963062.50,744.84,721.33,0.70,337.63,346.20
Earning Per Share,-53.62,-26.55,15.24,35.23,19.22,32.34,43.15,27.28,24.10,20.56,13.16,-7.07,9.34
Net Working Capital to Total Asseets,-0.07,0.01,0.04,0.09,0.01,0.06,0.05,0.04,0.01,-0.00,-0.03,-0.07,0.01
Current Ratio,0.59,1.10,1.45,2.49,1.24,2.22,1.63,1.55,1.21,0.97,0.69,0.61,1.06
Acid Test,0.56,1.05,1.38,2.39,1.11,2.08,1.52,1.44,1.11,0.89,0.63,0.55,1.00
Times Interest Earned,-0.07,0.68,2.22,5.04,8.25,15.92,15.37,9.17,7.26,6.44,4.75,0.51,5.06
Total Debt Ratio,0.37,0.35,0.29,0.24,0.14,0.09,0.11,0.09,0.10,0.10,0.11,0.21,0.20
Debt To Equity,0.59,0.55,0.41,0.32,0.16,0.10,0.12,0.10,0.11,0.12,0.12,0.27,0.25
Return on Capital Employed,-0.00,0.02,0.03,0.05,0.04,0.05,0.07,0.05,0.05,0.05,0.03,0.01,0.06
Average Collection Period,8.78,19.56,24.43,22.38,21.09,23.51,28.00,29.76,29.82,23.22,25.62,18.69,27.15
Days sales Inventory,19.44,18.86,18.09,17.41,21.76,20.52,19.97,19.92,18.49,16.93,17.37,15.53,13.78
Total Assets Turnover,0.15,0.19,0.21,0.23,0.25,0.23,0.26,0.25,0.21,0.19,0.17,0.32,0.33
Gross Profit Margin,33.10,40.15,46.35,44.69,47.85,45.87,44.13,43.35,41.83,39.84,36.34,31.85,35.86
Net Profit Margin,-21.45,-8.52,4.71,11.68,6.83,13.28,18.44,13.04,13.82,13.33,10.10,-5.15,6.56
