Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,74.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,25.88,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,-9.56,-0.16,3.43,-0.36,-3.18,-13.76,12.34,29.70,-34.29,-123.84,-90.90,-20.00
Return on Assets,-5.63,-0.10,1.87,-0.17,-1.07,-5.15,3.03,5.12,-1.02,-7.38,-14.74,-5.91
Book Value per Share,62.88,69.46,49.14,45.19,64.60,66.78,31.11,24.14,3.42,7.09,24.55,52.70
Earning Per Share,-6.01,-0.11,1.80,-0.18,-2.05,-9.19,3.84,7.17,-1.17,-8.78,-22.32,-10.54
Net Working Capital to Total Asseets,-0.24,-0.18,-0.21,-0.35,-0.39,-0.42,-0.59,-0.52,-0.66,-0.39,-0.49,-0.17
Current Ratio,0.24,0.37,0.40,0.18,0.35,0.23,0.21,0.33,0.28,0.51,0.30,0.67
Acid Test,0.08,0.10,0.11,0.09,0.24,0.14,0.12,0.08,0.12,0.47,0.11,0.27
Times Interest Earned,-1.43,1.79,3.06,0.83,0.82,-0.78,1.75,1.61,0.95,0.46,-0.22,0.22
Total Debt Ratio,0.41,0.39,0.46,0.54,0.66,0.63,0.75,0.83,0.97,0.94,0.84,0.70
Debt To Equity,0.70,0.65,0.83,1.18,1.97,1.67,3.07,4.80,32.58,15.77,5.17,2.39
Return on Capital Employed,-0.05,0.03,0.07,0.02,0.04,-0.04,0.35,0.54,1.43,0.27,-0.09,0.03
Average Collection Period,2.05,1.94,5.39,1.10,1.70,1.25,1.94,6.01,13.44,0.68,1.01,6.46
Days sales Inventory,36.55,58.20,40.14,32.72,48.78,18.57,18.58,53.04,36.08,12.42,62.73,43.46
Total Assets Turnover,0.47,0.52,1.01,0.40,0.49,0.91,1.53,1.52,1.67,0.94,0.47,0.55
Gross Profit Margin,-2.33,7.33,5.77,-6.76,-1.04,-0.40,7.36,11.64,9.68,9.58,9.44,10.00
Net Profit Margin,-12.02,-0.19,1.86,-0.41,-2.17,-5.63,1.98,3.38,-0.61,-7.88,-31.39,-10.80
