Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,45.05,30.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,54.95,69.88,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,3.00,5.41,2.33,6.79,-14.83,-31.43,3.97,4.30,3.66,3.46,5.80,11.89
Return on Assets,1.56,3.15,1.46,2.42,-4.80,-9.14,1.17,1.28,1.11,1.10,1.46,2.83
Book Value per Share,46.29,51.34,178.05,30.94,22.40,20.02,20.09,21.04,22.31,23.64,15.13,16.03
Earning Per Share,1.39,2.77,3.50,2.10,-3.32,-6.29,0.80,0.91,0.82,0.82,0.88,1.69
Net Working Capital to Total Asseets,0.12,0.11,0.09,0.05,-0.02,0.03,0.17,0.19,0.20,0.19,0.24,0.24
Current Ratio,1.31,1.30,1.30,1.11,0.97,1.05,1.28,1.33,1.35,1.37,1.39,1.39
Acid Test,0.83,0.70,0.66,0.82,0.81,0.82,0.94,0.90,0.98,0.98,0.99,0.95
Times Interest Earned,1.44,1.92,1.59,1.88,-0.21,-1.04,1.30,1.25,1.23,1.23,1.23,1.55
Total Debt Ratio,0.48,0.42,0.37,0.64,0.68,0.71,0.71,0.70,0.70,0.68,0.75,0.76
Debt To Equity,0.92,0.72,0.60,1.80,2.09,2.44,2.39,2.35,2.31,2.16,2.99,3.21
Return on Capital Employed,0.11,0.09,0.05,0.12,-0.03,-0.18,0.20,0.21,0.20,0.18,0.29,0.28
Average Collection Period,173.43,0.00,0.00,277.30,274.17,288.32,229.28,182.00,183.27,178.11,168.60,168.16
Days sales Inventory,182.63,203.42,359.62,206.15,92.70,124.69,140.20,150.92,119.72,113.71,108.43,125.26
Total Assets Turnover,0.41,0.42,0.23,0.36,0.50,0.53,0.72,0.80,0.83,0.85,1.07,1.04
Gross Profit Margin,12.69,9.46,12.82,34.96,24.45,23.70,25.33,25.54,23.07,23.25,22.29,23.28
Net Profit Margin,3.81,7.56,6.27,6.82,-9.58,-17.13,1.63,1.60,1.34,1.29,1.36,2.73
