Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,80.35,68.71,61.08,74.62,116.44,244.84,80.34,0.00,120.15,96.03,83.60,0.00
Plow Back,19.65,31.29,38.92,25.38,-16.44,-144.84,19.66,100.00,-20.15,3.97,16.40,100.00
Return on Equity,7.23,8.88,9.83,8.23,10.16,5.65,12.59,6.83,7.56,9.32,9.21,-2.89
Return on Assets,3.02,3.79,4.49,3.79,4.86,2.90,6.98,4.60,4.87,6.16,5.94,-2.06
Book Value per Share,17.21,16.39,16.66,16.28,16.91,18.07,19.78,20.69,19.27,19.56,19488.15,19193.80
Earning Per Share,1.24,1.46,1.64,1.34,1.72,1.02,2.49,1.41,1.46,1.82,1.79,-0.55
Net Working Capital to Total Asseets,-0.05,0.00,0.04,0.08,0.14,0.15,0.20,0.17,0.07,0.10,0.12,0.13
Current Ratio,0.87,1.00,1.13,1.23,1.55,1.62,1.94,2.30,1.39,1.51,1.50,1.81
Acid Test,0.80,0.91,1.08,1.19,1.49,1.55,1.85,2.16,1.27,1.37,1.36,1.58
Times Interest Earned,30.36,20.42,43.17,53.66,42.82,28.14,58.26,23.85,56.00,36.42,16.43,-4.26
Total Debt Ratio,0.58,0.57,0.54,0.54,0.52,0.49,0.45,0.33,0.36,0.34,0.35,0.29
Debt To Equity,1.39,1.35,1.19,1.17,1.09,0.95,0.80,0.49,0.55,0.51,0.55,0.40
Return on Capital Employed,0.07,0.09,0.11,0.09,0.10,0.06,0.14,0.08,0.09,0.12,0.13,-0.03
Average Collection Period,103.35,84.24,83.93,72.71,68.92,70.56,83.73,53.41,60.59,64.94,66.30,73.55
Days sales Inventory,35.69,42.38,25.98,19.88,19.95,18.83,25.28,24.17,29.41,38.88,50.32,48.42
Total Assets Turnover,0.34,0.36,0.37,0.40,0.42,0.45,0.45,0.38,0.36,0.38,0.38,0.48
Gross Profit Margin,23.73,25.45,26.83,29.49,29.00,31.69,34.53,25.22,24.32,33.08,36.30,43.70
Net Profit Margin,8.87,10.59,11.97,9.57,11.56,6.39,15.66,12.01,13.44,16.26,15.45,-4.26
