Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Payout,35.81,40.95,47.70,46.92,50.19,49.87,0.00,0.00,0.00,0.00,0.00
Plow Back,64.19,59.05,52.30,53.08,49.81,50.13,100.00,100.00,100.00,100.00,100.00
Return on Equity,25.57,26.69,26.60,21.98,24.65,13.20,13.34,10.05,20.35,86.87,3.84
Return on Assets,8.54,9.51,9.17,8.61,10.94,7.03,7.42,5.81,11.78,44.25,0.27
Book Value per Share,32.76,27.44,23.64,19.39,16.17,15.20,13.19,5.72,5.14,4.10,0.54
Earning Per Share,8.38,7.33,6.29,4.26,3.98,2.00,1.76,0.57,1.05,3.56,0.02
Net Working Capital to Total Asseets,0.09,0.06,0.06,0.03,0.05,0.09,0.07,0.14,0.08,0.07,0.03
Current Ratio,1.16,1.11,1.11,1.06,1.10,1.25,1.23,1.40,1.26,1.21,1.08
Acid Test,0.49,0.53,0.54,0.54,0.67,0.55,0.55,0.92,0.91,0.70,0.63
Times Interest Earned,3.24,4.22,5.34,6.17,7.67,3.77,4.22,3.40,1.99,9.39,1.26
Total Debt Ratio,0.67,0.64,0.66,0.61,0.56,0.47,0.44,0.42,0.42,0.49,0.93
Debt To Equity,1.99,1.81,1.90,1.55,1.25,0.88,0.80,0.73,0.73,0.96,13.25
Return on Capital Employed,0.39,0.38,0.33,0.31,0.31,0.21,0.19,0.23,0.17,0.76,0.06
Average Collection Period,45.21,43.20,48.70,48.71,59.77,48.05,26.32,62.03,42.55,34.91,41.14
Days sales Inventory,96.87,76.02,83.10,83.66,69.47,97.67,74.08,52.22,32.36,51.69,54.48
Total Assets Turnover,1.58,1.74,1.60,1.35,1.24,1.16,1.27,1.37,1.36,1.37,1.03
Gross Profit Margin,14.83,13.67,13.27,14.45,19.40,15.31,15.39,16.76,12.98,12.84,10.37
Net Profit Margin,5.39,5.46,5.72,6.40,8.79,6.05,5.84,4.23,8.64,32.37,0.26
