Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,44.32,206.72,99.06,112.28,55.59,58.97,51.02,50.00,85.40,39.43,33.92,41.29
Plow Back,55.68,-106.72,0.94,-12.28,44.41,41.03,48.98,50.00,14.60,60.57,66.08,58.71
Return on Equity,10.99,2.43,4.31,4.58,10.81,12.49,12.64,10.86,3.48,23.14,27.37,23.91
Return on Assets,6.95,1.64,3.13,3.37,7.97,8.90,7.86,7.40,2.34,14.73,16.16,13.68
Book Value per Share,82.14,79.65,82.05,82.67,83.18,81.45,77.50,73.70,84.13,87.70,75.41,60.77
Earning Per Share,9.03,1.94,3.53,3.78,8.99,10.17,9.80,8.00,2.34,20.29,20.64,14.53
Net Working Capital to Total Asseets,0.46,0.51,0.55,0.55,0.54,0.50,0.39,0.39,0.36,0.33,0.26,0.23
Current Ratio,2.43,2.84,3.31,3.42,3.37,2.94,2.13,2.42,2.40,2.12,1.75,1.66
Acid Test,2.43,2.84,3.31,3.42,3.37,2.94,2.13,2.42,2.40,2.12,1.75,1.66
Times Interest Earned,77.84,19.41,75.77,77.07,86.76,85.22,110.12,147.88,32.34,346.50,427.42,585.94
Total Debt Ratio,0.37,0.32,0.27,0.26,0.26,0.29,0.38,0.32,0.33,0.36,0.41,0.43
Debt To Equity,0.58,0.48,0.38,0.36,0.36,0.40,0.61,0.47,0.48,0.57,0.69,0.75
Return on Capital Employed,0.17,0.04,0.07,0.06,0.16,0.18,0.18,0.16,0.05,0.33,0.38,0.32
Average Collection Period,134.18,115.34,189.05,126.30,51.65,46.91,65.00,44.44,53.14,29.36,35.59,91.17
Days sales Inventory,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total Assets Turnover,0.73,0.69,0.60,0.59,0.64,0.65,0.63,0.73,0.69,0.98,1.04,0.83
Gross Profit Margin,23.37,18.67,20.80,24.50,31.06,27.69,32.88,31.28,13.88,28.96,38.68,39.06
Net Profit Margin,9.47,2.38,5.25,5.67,12.48,13.61,12.45,10.11,3.40,15.03,15.53,16.50
