Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,24.92,19.80,20.33,15.05,32.78,47.40,22.63,31.74,0.21,0.55,0.42,23.96,33.95
Plow Back,75.08,80.20,79.67,84.95,67.22,52.60,77.37,68.26,99.78,99.45,99.58,76.04,66.05
Return on Equity,9.41,13.11,19.56,18.59,16.70,16.09,15.44,12.79,15.24,15.04,12.22,20.83,16.58
Return on Assets,2.48,3.58,6.12,5.24,4.86,4.48,4.33,3.71,4.04,3.67,3.26,2.67,2.28
Book Value per Share,149.19,115.58,113.16,98.29,118.74,78.68,64.39,55.41,47.69,40.23,34.20,30.06,26.65
Earning Per Share,14.49,15.15,22.13,18.27,15.70,12.66,9.94,7.09,7.27,6.05,5.88,6.26,4.42
Net Working Capital to Total Asseets,0.02,0.00,0.01,0.03,-0.01,0.03,0.07,0.08,0.02,0.04,0.01,0.01,0.00
Current Ratio,1.05,1.01,1.02,1.10,0.99,1.07,1.15,1.16,1.03,1.07,1.02,1.02,1.00
Acid Test,0.50,0.51,0.40,0.40,0.28,0.22,0.24,0.16,0.17,0.20,0.25,0.28,0.27
Times Interest Earned,2.14,2.55,3.98,3.45,2.62,2.06,1.94,1.94,2.01,2.00,1.64,1.33,1.45
Total Debt Ratio,0.74,0.73,0.69,0.72,0.71,0.72,0.72,0.71,0.74,0.76,0.73,0.87,0.86
Debt To Equity,2.79,2.66,2.20,2.55,2.43,2.59,2.57,2.45,2.78,3.10,2.75,6.82,6.26
Return on Capital Employed,0.10,0.14,0.17,0.15,0.17,0.19,0.20,0.23,0.32,0.28,0.27,0.24,0.17
Average Collection Period,36.75,33.31,23.91,26.86,25.36,23.21,30.13,17.12,22.73,21.25,21.96,31.77,34.72
Days sales Inventory,91.50,82.89,101.67,115.66,155.01,197.39,214.20,210.63,217.75,229.09,186.32,195.75,207.43
Total Assets Turnover,0.89,1.12,1.04,0.88,0.83,0.86,0.93,1.05,1.02,0.93,1.00,0.92,0.77
Gross Profit Margin,20.70,21.12,22.43,18.98,18.28,20.23,19.82,19.40,19.73,18.89,17.34,21.39,20.62
Net Profit Margin,2.81,3.21,5.91,5.95,5.89,5.22,4.66,3.52,3.96,3.95,3.25,2.89,2.95
