Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2009,2008
Payout,0.00,0.00,56.23,42.82,56.36,56.88,54.58,59.19,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,43.77,57.18,43.64,43.13,45.42,40.81,100.00,100.00,100.00,100.00
Return on Equity,-1.60,5.93,12.06,23.82,23.61,29.95,26.00,24.88,12.23,2.67,0.79,-3.96
Return on Assets,-0.43,1.87,5.65,16.43,17.06,20.60,14.89,13.23,5.95,1.23,0.35,-1.72
Book Value per Share,57.80,58.65,60.00,53.92,46.97,36.69,29.95,27.16,21.65,19.92,22.96,22.78
Earning Per Share,-0.92,3.48,7.24,12.84,11.09,10.99,7.79,6.76,2.65,0.54,0.18,-0.93
Net Working Capital to Total Asseets,-0.14,-0.09,0.06,0.21,0.17,0.25,0.11,0.02,-0.25,-0.33,-0.24,-0.21
Current Ratio,0.51,0.62,1.36,3.14,2.44,2.78,1.43,1.08,0.43,0.27,0.29,0.26
Acid Test,0.30,0.39,0.88,2.13,1.81,1.93,0.86,0.70,0.10,0.08,0.11,0.10
Times Interest Earned,-0.92,5.89,24.32,118.30,221.17,63.17,16.66,14.20,3.82,1.20,1.39,-0.39
Total Debt Ratio,0.73,0.68,0.53,0.31,0.28,0.31,0.43,0.47,0.51,0.54,0.56,0.57
Debt To Equity,2.74,2.17,1.14,0.45,0.38,0.45,0.75,0.88,1.06,1.18,1.26,1.30
Return on Capital Employed,-0.01,0.05,0.09,0.26,0.30,0.34,0.29,0.30,0.22,0.08,0.09,-0.02
Average Collection Period,56.56,18.10,15.64,7.72,4.23,2.65,2.79,2.40,1.59,1.49,2.73,3.02
Days sales Inventory,173.28,106.39,108.25,102.19,75.18,98.86,114.63,92.27,110.00,67.13,64.90,41.70
Total Assets Turnover,0.13,0.23,0.35,0.60,0.63,0.70,0.68,0.65,0.64,0.54,0.48,0.46
Gross Profit Margin,-1.64,21.93,27.77,41.66,42.76,37.57,32.26,31.78,24.46,14.07,26.66,10.58
Net Profit Margin,-3.33,8.12,16.24,27.44,26.89,29.63,22.04,20.28,9.27,2.29,0.72,-3.71
