Year,2020,2019,2018,2017,2016,2015
Payout,0.00,0.00,0.00,0.00,66.67,0.00
Plow Back,100.00,100.00,100.00,100.00,33.33,100.00
Return on Equity,-0.86,3.20,-7.95,13.95,7.17,-2.64
Return on Assets,-0.44,1.91,-2.87,6.34,3.57,-1.11
Book Value per Share,11.75,11.85,10.85,11.71,10.47,9.72
Earning Per Share,-0.10,0.39,-0.86,1.63,0.75,-0.26
Net Working Capital to Total Asseets,0.05,0.21,0.11,0.12,0.12,0.06
Current Ratio,1.11,1.53,1.17,1.22,1.23,1.10
Acid Test,0.49,0.85,0.61,0.73,0.62,0.60
Times Interest Earned,1.30,1.73,0.69,4.15,2.05,1.04
Total Debt Ratio,0.49,0.40,0.64,0.55,0.50,0.58
Debt To Equity,0.94,0.68,1.77,1.20,1.01,1.39
Return on Capital Employed,0.04,0.11,0.11,0.23,0.19,0.11
Average Collection Period,48.45,65.77,72.26,74.19,51.82,68.00
Days sales Inventory,168.00,147.50,124.94,88.55,99.79,88.36
Total Assets Turnover,0.68,0.75,1.12,1.25,1.28,1.28
Gross Profit Margin,5.09,9.82,6.26,12.21,12.04,5.99
Net Profit Margin,-0.65,2.55,-2.56,5.06,2.78,-0.86
